,id,title,authors,citation,first_author,journal_book,publication_year,create_date,pmcid,nihms_id,doi
0,34968557,Active inference leads to Bayesian neurophysiology,Isomura T.,Neurosci Res. 2022 Feb;175:38-45. doi: 10.1016/j.neures.2021.12.003. Epub 2021 Dec 27.,Isomura T,Neurosci Res,2022,2021/12/30,,,10.1016/j.neures.2021.12.003
1,33343039,Active inference on discrete state-spaces: A synthesis,"Da Costa L, Parr T, Sajid N, Veselic S, Neacsu V, Friston K.",J Math Psychol. 2020 Dec;99:102447. doi: 10.1016/j.jmp.2020.102447.,Da Costa L,J Math Psychol,2020,2020/12/21,PMC7732703,,10.1016/j.jmp.2020.102447
2,30120751,"Active Inference, Novelty and Neglect","Parr T, Friston KJ.",Curr Top Behav Neurosci. 2019;41:115-128. doi: 10.1007/7854_2018_61.,Parr T,Curr Top Behav Neurosci,2019,2018/08/19,,,10.1007/7854_2018_61
3,27375276,Active inference and learning,"Friston K, FitzGerald T, Rigoli F, Schwartenbeck P, O Doherty J, Pezzulo G.",Neurosci Biobehav Rev. 2016 Sep;68:862-879. doi: 10.1016/j.neubiorev.2016.06.022. Epub 2016 Jun 29.,Friston K,Neurosci Biobehav Rev,2016,2016/07/05,PMC5167251,,10.1016/j.neubiorev.2016.06.022
4,34687699,"Active inference, selective attention, and the cocktail party problem","Holmes E, Parr T, Griffiths TD, Friston KJ.",Neurosci Biobehav Rev. 2021 Dec;131:1288-1304. doi: 10.1016/j.neubiorev.2021.09.038. Epub 2021 Oct 21.,Holmes E,Neurosci Biobehav Rev,2021,2021/10/23,PMC8643962,NIHMS1754010,10.1016/j.neubiorev.2021.09.038
5,33865502,An active inference perspective on the negative symptoms of schizophrenia,"Jeganathan J, Breakspear M.",Lancet Psychiatry. 2021 Aug;8(8):732-738. doi: 10.1016/S2215-0366(20)30527-7. Epub 2021 Apr 15.,Jeganathan J,Lancet Psychiatry,2021,2021/04/18,,,10.1016/S2215-0366(20)30527-7
6,34563752,Active inference through whiskers,"Mannella F, Maggiore F, Baltieri M, Pezzulo G.",Neural Netw. 2021 Dec;144:428-437. doi: 10.1016/j.neunet.2021.08.037. Epub 2021 Sep 9.,Mannella F,Neural Netw,2021,2021/09/26,,,10.1016/j.neunet.2021.08.037
7,25957007,"Active inference, communication and hermeneutics","Friston KJ, Frith CD.",Cortex. 2015 Jul;68:129-43. doi: 10.1016/j.cortex.2015.03.025. Epub 2015 Apr 15.,Friston KJ,Cortex,2015,2015/05/10,PMC4502445,,10.1016/j.cortex.2015.03.025
8,36619023,Resilience and active inference,"Miller M, Albarracin M, Pitliya RJ, Kiefer A, Mago J, Gorman C, Friston KJ, Ramstead MJD.",Front Psychol. 2022 Dec 22;13:1059117. doi: 10.3389/fpsyg.2022.1059117. eCollection 2022.,Miller M,Front Psychol,2022,2023/01/09,PMC9815108,,10.3389/fpsyg.2022.1059117
9,37354642,"An active inference model of hierarchical action understanding, learning and imitation","Proietti R, Pezzulo G, Tessari A.",Phys Life Rev. 2023 Sep;46:92-118. doi: 10.1016/j.plrev.2023.05.012. Epub 2023 Jun 5.,Proietti R,Phys Life Rev,2023,2023/06/24,,,10.1016/j.plrev.2023.05.012
10,26365173,"Active Inference, homeostatic regulation and adaptive behavioural control","Pezzulo G, Rigoli F, Friston K.",Prog Neurobiol. 2015 Nov;134:17-35. doi: 10.1016/j.pneurobio.2015.09.001. Epub 2015 Sep 10.,Pezzulo G,Prog Neurobiol,2015,2015/09/15,PMC4779150,,10.1016/j.pneurobio.2015.09.001
