Papers,Chapter,Notes,Archive
Active inference as a theory of sentient behavior,"[1, 15]",History of predictive coding; unification,Pubmed (after Sept 2023)
Active Inference for Autonomous Decision-Making with Contextual Multi-Armed Bandits,[10],MABs,ArXiv
An empirical evaluation of active inference in multi-armed bandits,[10],MABs,ArXiv
Inferring Hierarchical Structure in Multi-Room Maze Environments,[10],Hierarchical models,ArXiv
Learning Spatial and Temporal Hierarchies: Hierarchical Active Inference for navigation in Multi-Room Maze Environments,[10],Hierarchical active inference,ArXiv
Learning generative state space models for active inference,"[11,13]",They start paper describing some of the current limitations with RL approaches in the real-world. Nice references here. Simulation.,Paperpile
Turn-Taking Mechanisms in Imitative Interaction: Robotic Social Interaction Based on the Free Energy Principle,"[11,14]",Simulation,Paperpile
A Bayesian account of generalist and specialist formation under the Active Inference framework,[11],Habit learning,BioArXiv
A Methods paper for object representation,[11],Reactive control,Paperpile
A mixed generative model of auditory word repetition,[11],Hybrid models,BioArXiv
Active Inference and Behavior Trees for Reactive Action Planning and Execution in Robotics,[11],,Paperpile
Active Inference for Autonomous Decision-Making with Contextual Multi-Armed Bandits,[11],,Paperpile
"Active inference for integrated state-estimation, control, and learning",[11],Cool paper because they add some tunability into AIF controllers with the tau parameter. Would make a good figure. See also the details in Chapter 15.,Paperpile
Active Inference for Robotic Manipulation,[11],Simulation,Paperpile
An active inference implementation of phototaxis,[11],Simulation,Paperpile
Balancing control: a Bayesian interpretation of habitual and goal-directed behavior,[11],Habit formation,BioArXiv
Branching Time Active Inference with Bayesian Filtering,[11],Check that it is cited,ArXiv
Branching Time Active Inference: empirical study and complexity class analysis,[11],Check that it is cited,ArXiv
Branching Time Active Inference: the theory and its generality,[11],Check that it is cited,ArXiv
Chance-constrained active inference,[11],Self-supervised objective - do not need to reconstruct outputs of actions.,Paperpile
Combining active inference and hierarchical predictive coding: a tutorial introduction and case study,[11],Simulation,Paperpile
Contrastive active inference,[11],"One particular challenge with such discrete state-space active inference models is the fact that it is difficult to scale the model to a large number of states and quickly becomes computationally expensive. In Chapter 13 we described \textit{contrastive active inference} \citep{Mazzaglia2021-oj} a possible approach to more effecient discrete-state space active inference-based control using contrastive learning. The authors in this paper argue that since complete pixel-level visual reconstruction is expensive and may be unnecessary for many tasks, the model's complexity can be reduced if it selectively choose which observations are relevant for the decision-making task at hand. After augmenting VFE and EFE with a contrastive loss term, the model better identifies similar observations that were likely generate by the hidden state to be inferred. ",Paperpile
Embodied object representation learning and recognition,[11],Reactive control,Paperpile
Generalized Simultaneous Localization and Mapping (G-SLAM) as unification framework for natural and artificial intelligences: towards reverse engineering the hippocampal/entorhinal system and principles of high-level cognition,[11],,Paperpile
Goal-directed Planning and Goal Understanding by Active Inference: Evaluation Through Simulated and Physical Robot Experiments,[11],Simulation. Alternative computation of EFE,Paperpile
"Investigation of the Sense of Agency in Social Cognition, Based on Frameworks of Predictive Coding and Active Inference: A Simulation Study on Multimodal Imitative Interaction",[11],Simulation,Paperpile
Meta-control of the exploration-exploitation dilemma emerges from probabilistic inference over a hierarchy of time scales,[11],Chapter 11? The authors introduce meta-control states into the model.,Paperpile
Modeling the subjective perspective of consciousness and its role in the control of behaviours,[11],Simulation,Paperpile
Multi-Modal and Multi-Factor Branching Time Active Inference,[11],Branching time AIF,ArXiv
Multimodal VAE active inference controller,[11],Simulation,Paperpile
Online reinforcement learning with sparse rewards through an active inference capsule,[11],FEEF,ArXiv
Predictive coding-based deep dynamic neural network for visuomotor learning,[11],Simulation,Paperpile
Prior Preference Learning from Experts: Designing a Reward with Active Inference,[11],C vector learning,ArXiv
The computational neurology of movement under active inference,[11],Simulation of tendon reflex with a mixed generative model. Great example. Cite this simulation. Also check out the table here which lists some parameters and the resulting pathologies.,Paperpile
The Discrete and Continuous Brain: From Decisions to Movement-And Back Again,[11],Hybrid models,Paperpile
Unbiased Active Inference for Classical Control,[11],Drawback: AIC biased toward current goal prior (poor state estimation). Influences precision learning by biasing parameter convergence. False-positive fault detection. Control action not an random variable. Thus cannot minimize directly and must use the chain rule (assumes system is linear).,Paperpile
"Uncertainty, epistemics and active inference",[11],Excellent discrete time notation. Add to Chapter 11 - precision updating for discrete time active inference.,Paperpile
Variational Inference for Predictive and Reactive Controllers,[11],"The authors interpret the work in \citep{Oliver2019-uo, Pezzato2019-mx} in terms of \textit{reactive control}. They point out the fact that because continuous state-space active inference can only adaptively react to prediction errors it will have a much slower response. By separating the state-estimation and action steps the model can run them in parallel and adapt faster to environmental changes. Reactive control. Re-read this paper in more detail. It's kind of a robotics paper but really they introduce a few modifications to generalized filtering.",Paperpile
MULAN: Evaluation and ensemble statistical inference for functional connectivity,"[12,15]",Maybe chapter 16?,Paperpile
A Factor Graph Description of Deep Temporal Active Inference,[12],,Paperpile
A Unified View of Algorithms for Path Planning Using Probabilistic Inference on Factor Graphs,[12],,ArXiv
Active Inference and Epistemic Value in Graphical Models,[12],Look very important,Paperpile
Active inference for robot control: a factor graph approach,[12],,Paperpile
"Active Inference, Belief Propagation, and the Bethe Approximation",[12],,Paperpile
"Neuronal message passing using Mean-field, Bethe, and Marginal approximations",[12],,Paperpile
Realising Active Inference in Variational Message Passing: the Outcome-blind Certainty Seeker,[12],Make sure cited.,ArXiv
Simulating Active Inference Processes by Message Passing,[12],,Paperpile
The Anatomy of Inference: Generative Models and Brain Structure,[12],,Paperpile
The graphical brain: Belief propagation and active inference,[12],,Paperpile
Toward Design of Synthetic Active Inference Agents by Mere Mortals,[12],Factor graph approaches to AIF,ArXiv
A Bayesian Account of the Sensory-Motor Interactions Underlying Symptoms of Tourette Syndrome,[13],Read. Motor illusions,Paperpile
A novel model of divergent predictive perception,[13],Dysfunction,Pubmed (after Sept 2023)
A predictive processing theory of sensorimotor contingencies: Explaining the puzzle of perceptual presence and its absence in synesthesia,[13],Read. Motor illusions,Paperpile
Active inference and the two-step task,[13],Cite. Decision-making and impulsivity,Paperpile
Active inference on OpenAI gym: a paradigm for computational investigations into psychiatric illness,[13],Cite. Decision-making and impulsivity,Paperpile
"Active inference, morphogenesis, and computational psychiatry",[13],Psychopathology,PsyArXiv
An Active Inference Approach to Dissecting Reasons for Nonadherence to Antidepressants,[13],Habit formation,Paperpile
Being curious about the answers to questions: novelty search with learned attention,[13],Curiosity,ArXiv
Caching mechanisms for habit formation in active inference,[13],Habit formation,Paperpile
Can the Predictive Processing Framework Explain the Persistence of Delusional Beliefs?,[13],Neuropathology,Pubmed (after Sept 2023)
Can You Tickle Yourself If You Swap Bodies with Someone Else?,[13],Read. Motor illusions,Paperpile
