title,authors,where_published,year,doi,remove
A systematic analysis of the effects of splicing on the diversity of post-translational modifications in protein isoforms,"Crowl, Sam and Coleman, Maeve Bella and Chaphiv, Andrew and Naegle, Kristen M.",bioRxiv,2024,10.1101/2024.01.10.575062,TRUE
Feature selectivity of corticocortical feedback along the primate dorsal visual pathway,"Korkian, Yavar and Nakhla, Nardin and Pack, Christopher C.",bioRxiv,2024,10.1101/2024.02.21.581426,TRUE
Generalized cue reactivity in dopamine neurons after opioids,"Lehmann, Collin M. and Miller, Nora E. and Nair, Varun S. and Costa, Kau{\^e} M. and Schoenbaum, Geoffrey and Moussawi, Khaled",bioRxiv,2024,10.1101/2024.06.02.597025,TRUE
"Physiological Harmony or Discord? Unveiling the Correspondence Between Subjective Arousal, Valence and Physiological Responses","Koppold, Alina and Lonsdorf, Tina B. and Kuhn, Manuel and Weymar, Mathias and Ventura-Bort, Carlos",bioRxiv,2024,10.1101/2024.05.31.596899,TRUE
Anterior insular activity signals perceptual conflicts induced by temporal and spatial context,"Reichenbach, Katrin and Rothkirch, Marcus and Jaeckel, Lucca and Sterzer, Philipp and Weilnhammer, Veith",bioRxiv,2024,10.1101/2024.05.29.595872,TRUE
Cognitive Computational Model Reveals Repetition Bias in a Sequential Decision-Making Task,"Legler, Eric and Rivera, Dar{\'\i}o Cuevas and Schw{\""o}bel, Sarah and Wagner, Ben J. and Kiebel, Stefan",bioRxiv,2024,10.1101/2024.05.30.596605,TRUE
Dynamic functional connectivity encodes generalizable representations of emotional arousal across individuals and situational contexts,"Ke, Jin and Song, Hayoung and Bai, Zihan and Rosenberg, Monica D. and Leong, Yuan Chang",bioRxiv,2024,10.1101/2023.11.14.566767,TRUE
Visuomotor prediction during action planning in the human frontoparietal cortex and cerebellum,"Quirmbach, Felix and Limanowski, Jakub",bioRxiv,2024,10.1101/2023.07.20.549926,TRUE
Neuron-level Prediction and Noise can Implement Flexible Reward-Seeking Behavior,"Li, Chenguang and Brenner, Jonah and Boesky, Adam and Ramanathan, Sharad and Kreiman, Gabriel",bioRxiv,2024,10.1101/2024.05.22.595306,TRUE
Temporal Coherence Shapes Cortical Responses to Speech Mixtures in a Ferret Cocktail Party,"Joshi, Neha and Ng, Yu and Thakkkar, Karan and Duque, Daniel and Yin, Pingbo and Fritz, Jonathan and Elhilali, Mounya and Shamma, Shihab",bioRxiv,2024,10.1101/2024.05.21.595171,TRUE
Cerebellar control over inter-regional excitatory/inhibitory dynamics discriminates execution from observation of an action,"Lorenzi, Roberta Maria and Korkmaz, G{\""o}k{\c c}e and Alahmadi, Adnan A.S. and Monteverdi, Anita and Casiraghi, Letizia and D{\textquoteright}Angelo, Egidio and Palesi, Fulvia and Gandini Wheeler-Kingshott, Claudia A.M.",bioRxiv,2024,10.1101/2024.05.21.595114,TRUE
Psilocybin increases optimistic engagement over time: computational modelling of behavior in rats,"Fisher, Elizabeth L. and Smith, Ryan and Corcoran, Andrew W. and Milton, Laura K. and Conn, Kyna and Hohwy, Jakob and Foldi, Claire J.",bioRxiv,2024,10.1101/2024.05.16.594614,TRUE
"Identification and Pharmacological Targeting of Treatment-Resistant, Stem-like Breast Cancer Cells for Combination Therapy","Worley, Jeremy and Noh, Heeju and You, Daoqi and Turunen, Mikko M. and Ding, Hongxu and Paull, Evan and Griffin, Aaron T. and Grunn, Adina and Zhang, Mingxuan and Guillan, Kristina and Bush, Erin C. and Brosius, Samantha J. and Hibshoosh, Hanina and Mundi, Prabhjot S. and Sims, Peter and Dalerba, Piero and Dela Cruz, Filemon S. and Kung, Andrew L. and Califano, Andrea",bioRxiv,2024,10.1101/2023.11.08.562798,TRUE
Concurrent predictive and prospective strategies in a simple visuomotor task,"M{\'a}rquez, Inmaculada and Trevi{\~n}o, Mario",bioRxiv,2024,10.1101/2024.05.15.594355,TRUE
"Meta-Reinforcement Learning reconciles surprise, value and control in the anterior cingulate cortex","Vriens, Tim and Vassena, Eliana and Pezzulo, Giovanni and Baldassarre, Gianluca and Silvetti, Massimo",bioRxiv,2024,10.1101/2024.05.15.592711,TRUE
Task-irrelevant stimuli reliably boost phasic pupil-linked arousal but do not affect decision formation,"Hebisch, J. and Ghassemieh, A.-C. and Zhecheva, E. and Brouwer, M. and van Gaal, S. and Schwabe, L. and Donner, T.H. and de Gee, J.W.",bioRxiv,2024,10.1101/2024.05.14.594080,TRUE
Parallel feedback processing for voluntary control: knowledge of spinal feedback in motor cortex,"Guang, Hui and Nashed, Joseph Y. and Pruszynski, J. Andrew and Kalidindi, Hari Teja and Crevecoeur, Frederic and Cross, Kevin P. and Blohm, Gunnar and Scott, Stephen H.",bioRxiv,2024,10.1101/2024.05.12.593756,TRUE
Decoding Musical Valence And Arousal: Exploring The Neural Correlates Of Music Evoked Emotions And The Role Of Expressivity Features,"Sayal, Alexandre and Guedes, Ana Gabriela and Almeida, In{\^e}s and Pereira, Daniela Jardim and Lima, C{\'e}sar and Panda, Renato and Paiva, Rui Pedro and Sousa, Teresa and Castelo-Branco, Miguel and Bernardino, In{\^e}s and Direito, Bruno",bioRxiv,2024,10.1101/2024.02.27.582309,TRUE
Revealing non-trivial information structures in aneural biological tissues via functional connectivity,"Blackiston, Douglas and Dromiack, Hannah and Grasso, Caitlin and Varley, Thomas F. and Moore, Douglas G. and Srinivasan, Krishna and Sporns, Olaf and Bongard, Joshua and Levin, Michael and Walker, Sara I.",bioRxiv,2024,10.1101/2024.05.09.593467,TRUE
Hemispheric divergence of interoceptive processing across psychiatric disorders,"Adamic, Emily M. and Teed, Adam R. and Avery, Jason A. and de la Cruz, Feliberto and Khalsa, Sahib S.",bioRxiv,2024,10.1101/2023.12.08.570759,TRUE
Network Analyses of Brain Tumor Patients{\textquoteright} Multiomic Data Reveals Pharmacological Opportunities to Alter Cell State Transitions,"Bumbaca, Brandon and Birtwistle, Marc R. and Gallo, James M.",bioRxiv,2024,10.1101/2024.05.08.593202,TRUE
Neurocomputational Mechanisms Underlying Maladaptive Self-Belief Formation in Depression,"Czekalla, Nora and Schr{\""o}der, Alexander and Mayer, Annalina V and Stierand, Janine and Stolz, David S and Kube, Tobias and Wilhelm-Groch, Ines and Klein, Jan Philipp and Paulus, Frieder M and Krach, S{\""o}ren and M{\""u}ller-Pinzler, Laura",bioRxiv,2024,10.1101/2024.05.09.593087,TRUE
Prior context and individual alpha frequency (IAF) influence predictive processing during language comprehension,"Jano, Sophie and Cross, Zachariah and Chatburn, Alex and Schlesewsky, Matthias and Bornkessel-Schlesewsky, Ina",bioRxiv,2024,10.1101/2023.05.08.539915,TRUE
The Structure and Statistics of Language Jointly Shape Cross-frequency Neural Dynamics During Spoken Language Comprehension,"Weissbart, Hugo and Martin, Andrea E.",bioRxiv,2024,10.1101/2023.10.06.561087,TRUE
A brain-rhythm based computational framework for semantic context and acoustic signal integration in speech processing,"Dogonasheva, Olesia and Doelling, Keith and Zakharov, Denis and Giraud, Anne-Lise and Gutkin, Boris",bioRxiv,2024,10.1101/2024.01.17.575994,TRUE
Quantifying the diverse contributions of hierarchical muscle interactions to motor function,"O{\textquoteright}Reilly, David and Shaw, William and Hilt, Pauline and de Castro Aguiar, Rafael and Astill, Sarah L and Delis, Ioannis",bioRxiv,2024,10.1101/2023.11.30.569159,TRUE
Laminar fMRI in the locked-in stage of amyotrophic lateral sclerosis shows preserved activity in layer Vb of primary motor cortex,"Knudsen, Lasse and Jespersen, Bo and Heintzelmann, Mia B. and Zhang, Peng and Yang, Yan and Lund, Torben E. and Blicher, Jakob U.",bioRxiv,2024,10.1101/2024.04.26.590857,TRUE
A Computational Framework for Understanding the Impact of Prior Experiences on Pain Perception and Neuropathic Pain,"Ramne, Malin and Sensinger, Jon",bioRxiv,2024,10.1101/2024.04.23.590862,TRUE
Bridging verbal coordination and neural dynamics,"Schwab-Mohamed, Isa{\""\i}h and Mercier, Manuel R. and Tr{\'e}buchon, Agn{\`e}s and Morillon, Benjamin and Lancia, Leonardo and Sch{\""o}n, Daniele",bioRxiv,2024,10.1101/2024.04.23.590817,TRUE
Prefrontal encoding of an internal model for emotional inference,"Gu, Xiaowei and Johansen, Joshua P.",bioRxiv,2024,10.1101/2024.04.22.590529,TRUE
Adaptive planning depth in human problem solving,"Eluchans, Mattia and Lancia, Gian Luca and Maselli, Antonella and D{\textquoteright}Alessando, Marco and Gordon, Jeremy and Pezzulo, Giovanni",bioRxiv,2024,10.1101/2023.05.02.539099,TRUE
