PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38896995","The free energy principle induces intracellular compartmentalization","Fields C.","Biochem Biophys Res Commun. 2024 Sep 3;723:150070. doi: 10.1016/j.bbrc.2024.150070. Epub 2024 May 7.","Fields C","Biochem Biophys Res Commun","2024","2024/06/19","","","10.1016/j.bbrc.2024.150070"
"38781663","Form, function, mind: What doesn't compute (and what might)","Newman SA.","Biochem Biophys Res Commun. 2024 Aug 20;721:150141. doi: 10.1016/j.bbrc.2024.150141. Epub 2024 May 18.","Newman SA","Biochem Biophys Res Commun","2024","2024/05/23","","","10.1016/j.bbrc.2024.150141"
"38777988","When the interoceptive and conceptual clash: The case of oppositional phenomenal self-modelling in Tourette syndrome","Parvizi-Wayne D, Severs L.","Cogn Affect Behav Neurosci. 2024 Aug;24(4):660-680. doi: 10.3758/s13415-024-01189-6. Epub 2024 May 22.","Parvizi-Wayne D","Cogn Affect Behav Neurosci","2024","2024/05/22","PMC11233343","","10.3758/s13415-024-01189-6"
"39019245","The functional role of conscious sensation of movement","Grünbaum T, Christensen MS.","Neurosci Biobehav Rev. 2024 Jul 15;164:105813. doi: 10.1016/j.neubiorev.2024.105813. Online ahead of print.","Grünbaum T","Neurosci Biobehav Rev","2024","2024/07/17","","","10.1016/j.neubiorev.2024.105813"
"39018895","Evolutionary leap: Prioritizing Bayesian cognition over socio-cultural transmission","Hurtado AM.","Phys Life Rev. 2024 Jul 4;50:117-119. doi: 10.1016/j.plrev.2024.07.001. Online ahead of print.","Hurtado AM","Phys Life Rev","2024","2024/07/17","","","10.1016/j.plrev.2024.07.001"
"38955989","Sensorimotor learning during synchronous speech is modulated by the acoustics of the other voice","Bradshaw AR, Wheeler ED, McGettigan C, Lametti DR.","Psychon Bull Rev. 2024 Jul 2. doi: 10.3758/s13423-024-02536-x. Online ahead of print.","Bradshaw AR","Psychon Bull Rev","2024","2024/07/02","","","10.3758/s13423-024-02536-x"
"38513522","'Snakes and ladders' in paleoanthropology: From cognitive surprise to skillfulness a million years ago","Manrique HM, Friston KJ, Walker MJ.","Phys Life Rev. 2024 Jul;49:40-70. doi: 10.1016/j.plrev.2024.01.004. Epub 2024 Jan 21.","Manrique HM","Phys Life Rev","2024","2024/03/21","","","10.1016/j.plrev.2024.01.004"
"38940737","Needing: An Active Inference Process for Physiological Motivation","Bosulu J, Pezzulo G, Hétu S.","J Cogn Neurosci. 2024 Jun 26:1-19. doi: 10.1162/jocn_a_02209. Online ahead of print.","Bosulu J","J Cogn Neurosci","2024","2024/06/28","","","10.1162/jocn_a_02209"
"38913529","Blind CT Image Quality Assessment Using DDPM-derived Content and Transformer-based Evaluator","Shi Y, Xia W, Wang G, Mou X.","IEEE Trans Med Imaging. 2024 Jun 24;PP. doi: 10.1109/TMI.2024.3418652. Online ahead of print.","Shi Y","IEEE Trans Med Imaging","2024","2024/06/24","","","10.1109/TMI.2024.3418652"
"38890209","The fear-avoidance model as an embodied prediction of threat","Varangot-Reille C, Pezzulo G, Thacker M.","Cogn Affect Behav Neurosci. 2024 Jun 18. doi: 10.3758/s13415-024-01199-4. Online ahead of print.","Varangot-Reille C","Cogn Affect Behav Neurosci","2024","2024/06/18","","","10.3758/s13415-024-01199-4"
"38920527","The Universal Optimism of the Self-Evidencing Mind","Fisher EL, Hohwy J.","Entropy (Basel). 2024 Jun 17;26(6):518. doi: 10.3390/e26060518.","Fisher EL","Entropy (Basel)","2024","2024/06/26","PMC11202793","","10.3390/e26060518"
"38903472","Narrative as active inference: an integrative account of cognitive and social functions in adaptation","Bouizegarene N, Ramstead MJD, Constant A, Friston KJ, Kirmayer LJ.","Front Psychol. 2024 Jun 6;15:1345480. doi: 10.3389/fpsyg.2024.1345480. eCollection 2024.","Bouizegarene N","Front Psychol","2024","2024/06/21","PMC11188712","","10.3389/fpsyg.2024.1345480"
"38887627","Forgetting ourselves in flow: an active inference account of flow states and how we experience ourselves within them","Parvizi-Wayne D, Sandved-Smith L, Pitliya RJ, Limanowski J, Tufft MRA, Friston KJ.","Front Psychol. 2024 Jun 3;15:1354719. doi: 10.3389/fpsyg.2024.1354719. eCollection 2024.","Parvizi-Wayne D","Front Psychol","2024","2024/06/18","PMC11182004","","10.3389/fpsyg.2024.1354719"
"38363298","[Understanding and explaining functional movement disorders]","Popkirov S, Jungilligens J, Michaelis R.","Nervenarzt. 2024 Jun;95(6):499-506. doi: 10.1007/s00115-024-01619-3. Epub 2024 Feb 16.","Popkirov S","Nervenarzt","2024","2024/02/16","","","10.1007/s00115-024-01619-3"
"38920492","On Predictive Planning and Counterfactual Learning in Active Inference","Paul A, Isomura T, Razi A.","Entropy (Basel). 2024 May 31;26(6):484. doi: 10.3390/e26060484.","Paul A","Entropy (Basel)","2024","2024/06/26","PMC11202763","","10.3390/e26060484"
