PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38689714","Bayesian brain computing and the free-energy principle: an interview with Karl Friston","Lu W.","Natl Sci Rev. 2024 Jan 17;11(5):nwae025. doi: 10.1093/nsr/nwae025. eCollection 2024 May.","Lu W","Natl Sci Rev","2024","2024/05/01","PMC11060478","","10.1093/nsr/nwae025"
"38043398","Towards a Bayesian mechanics of metacognitive particles: A commentary on ""Path integrals, particular kinds, and strange things"" by Friston, Da Costa, Sakthivadivel, Heins, Pavliotis, Ramstead, and Parr","Da Costa L, Sandved-Smith L.","Phys Life Rev. 2024 Mar;48:11-13. doi: 10.1016/j.plrev.2023.11.014. Epub 2023 Nov 30.","Da Costa L","Phys Life Rev","2024","2023/12/03","","","10.1016/j.plrev.2023.11.014"
"37509911","A Variational Synthesis of Evolutionary and Developmental Dynamics","Friston K, Friedman DA, Constant A, Knight VB, Fields C, Parr T, Campbell JO.","Entropy (Basel). 2023 Jun 21;25(7):964. doi: 10.3390/e25070964.","Friston K","Entropy (Basel)","2023","2023/07/29","PMC10378262","","10.3390/e25070964"
"37213925","On Bayesian mechanics: a physics of and by beliefs","Ramstead MJD, Sakthivadivel DAR, Heins C, Koudahl M, Millidge B, Da Costa L, Klein B, Friston KJ.","Interface Focus. 2023 Apr 14;13(3):20220029. doi: 10.1098/rsfs.2022.0029. eCollection 2023 Jun 6.","Ramstead MJD","Interface Focus","2023","2023/05/22","PMC10198254","","10.1098/rsfs.2022.0029"
"37154143","Really radical?","Friston K.","Behav Brain Sci. 2023 May 8;46:e93. doi: 10.1017/S0140525X2200276X.","Friston K","Behav Brain Sci","2023","2023/05/08","","","10.1017/S0140525X2200276X"
"36821891","From the free energy principle to a confederation of Bayesian mechanics: Reply to comments on ""How particular is the physics of the free energy principle?""","Aguilera M, Millidge B, Tschantz A, Buckley CL.","Phys Life Rev. 2023 Mar;44:270-275. doi: 10.1016/j.plrev.2023.01.018. Epub 2023 Feb 8.","Aguilera M","Phys Life Rev","2023","2023/02/23","","","10.1016/j.plrev.2023.01.018"
"35153603","Bayesian mechanics for stationary processes","Da Costa L, Friston K, Heins C, Pavliotis GA.","Proc Math Phys Eng Sci. 2021 Dec;477(2256):20210518. doi: 10.1098/rspa.2021.0518. Epub 2021 Dec 8.","Da Costa L","Proc Math Phys Eng Sci","2021","2022/02/14","PMC8652275","","10.1098/rspa.2021.0518"
"34441216","Some Interesting Observations on the Free Energy Principle","Friston KJ, Da Costa L, Parr T.","Entropy (Basel). 2021 Aug 19;23(8):1076. doi: 10.3390/e23081076.","Friston KJ","Entropy (Basel)","2021","2021/08/27","PMC8391698","","10.3390/e23081076"
"33471182","Bayesian mechanics of perceptual inference and motor control in the brain","Kim CS.","Biol Cybern. 2021 Feb;115(1):87-102. doi: 10.1007/s00422-021-00859-9. Epub 2021 Jan 20.","Kim CS","Biol Cybern","2021","2021/01/20","PMC7925488","","10.1007/s00422-021-00859-9"
"33286324","Modules or Mean-Fields?","Parr T, Sajid N, Friston KJ.","Entropy (Basel). 2020 May 14;22(5):552. doi: 10.3390/e22050552.","Parr T","Entropy (Basel)","2020","2020/12/08","PMC7517075","EMS86658","10.3390/e22050552"
"31865883","Markov blankets, information geometry and stochastic thermodynamics","Parr T, Da Costa L, Friston K.","Philos Trans A Math Phys Eng Sci. 2020 Feb 7;378(2164):20190159. doi: 10.1098/rsta.2019.0159. Epub 2019 Dec 23.","Parr T","Philos Trans A Math Phys Eng Sci","2020","2019/12/24","PMC6939234","","10.1098/rsta.2019.0159"
