PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35205595","The Free Energy Principle for Perception and Action: A Deep Learning Perspective","Mazzaglia P, Verbelen T, Çatal O, Dhoedt B.","Entropy (Basel). 2022 Feb 21;24(2):301. doi: 10.3390/e24020301.","Mazzaglia P","Entropy (Basel)","2022","2022/02/25","PMC8871280","","10.3390/e24020301"
"35618044","A free energy principle for generic quantum systems","Fields C, Friston K, Glazebrook JF, Levin M.","Prog Biophys Mol Biol. 2022 Sep;173:36-59. doi: 10.1016/j.pbiomolbio.2022.05.006. Epub 2022 May 23.","Fields C","Prog Biophys Mol Biol","2022","2022/05/26","","","10.1016/j.pbiomolbio.2022.05.006"
"33597069","Friston's free energy principle: new life for psychoanalysis?","Holmes J.","BJPsych Bull. 2022 Jun;46(3):164-168. doi: 10.1192/bjb.2021.6.","Holmes J","BJPsych Bull","2022","2021/02/18","PMC9345684","","10.1192/bjb.2021.6"
"34895862","How particular is the physics of the free energy principle?","Aguilera M, Millidge B, Tschantz A, Buckley CL.","Phys Life Rev. 2022 Mar;40:24-50. doi: 10.1016/j.plrev.2021.11.001. Epub 2021 Nov 23.","Aguilera M","Phys Life Rev","2022","2021/12/13","PMC8902446","","10.1016/j.plrev.2021.11.001"
"32390817","An Investigation of the Free Energy Principle for Emotion Recognition","Demekas D, Parr T, Friston KJ.","Front Comput Neurosci. 2020 Apr 22;14:30. doi: 10.3389/fncom.2020.00030. eCollection 2020.","Demekas D","Front Comput Neurosci","2020","2020/05/12","PMC7189749","","10.3389/fncom.2020.00030"
"35626572","Applying the Free Energy Principle to Complex Adaptive Systems","Badcock PB, Ramstead MJD, Sheikhbahaee Z, Constant A.","Entropy (Basel). 2022 May 13;24(5):689. doi: 10.3390/e24050689.","Badcock PB","Entropy (Basel)","2022","2022/05/28","PMC9141822","","10.3390/e24050689"
"33271162","Neural and phenotypic representation under the free-energy principle","Ramstead MJD, Hesp C, Tschantz A, Smith R, Constant A, Friston K.","Neurosci Biobehav Rev. 2021 Jan;120:109-122. doi: 10.1016/j.neubiorev.2020.11.024. Epub 2020 Nov 30.","Ramstead MJD","Neurosci Biobehav Rev","2021","2020/12/03","PMC7955287","","10.1016/j.neubiorev.2020.11.024"
"35756264","Obesity and Type 2 Diabetes Mellitus Explained by the Free Energy Principle","Peters A, Hartwig M, Spiller T.","Front Psychol. 2022 Jun 10;13:931701. doi: 10.3389/fpsyg.2022.931701. eCollection 2022.","Peters A","Front Psychol","2022","2022/06/27","PMC9226719","","10.3389/fpsyg.2022.931701"
"17097864","A free energy principle for the brain","Friston K, Kilner J, Harrison L.","J Physiol Paris. 2006 Jul-Sep;100(1-3):70-87. doi: 10.1016/j.jphysparis.2006.10.001. Epub 2006 Nov 13.","Friston K","J Physiol Paris","2006","2006/11/14","","","10.1016/j.jphysparis.2006.10.001"
"20068583","The free-energy principle: a unified brain theory?","Friston K.","Nat Rev Neurosci. 2010 Feb;11(2):127-38. doi: 10.1038/nrn2787. Epub 2010 Jan 13.","Friston K","Nat Rev Neurosci","2010","2010/01/14","","","10.1038/nrn2787"
"36016665","Psychoanalytic psychotherapies and the free energy principle","Rabeyron T.","Front Hum Neurosci. 2022 Aug 9;16:929940. doi: 10.3389/fnhum.2022.929940. eCollection 2022.","Rabeyron T","Front Hum Neurosci","2022","2022/08/26","PMC9395580","","10.3389/fnhum.2022.929940"
"36119714","Connecting the free energy principle with quantum cognition","Gunji YP, Shinohara S, Basios V.","Front Neurorobot. 2022 Sep 2;16:910161. doi: 10.3389/fnbot.2022.910161. eCollection 2022.","Gunji YP","Front Neurorobot","2022","2022/09/19","PMC9478538","","10.3389/fnbot.2022.910161"
"36248528","Learned uncertainty: The free energy principle in anxiety","McGovern HT, De Foe A, Biddell H, Leptourgos P, Corlett P, Bandara K, Hutchinson BT.","Front Psychol. 2022 Sep 6;13:943785. doi: 10.3389/fpsyg.2022.943785. eCollection 2022.","McGovern HT","Front Psychol","2022","2022/10/17","PMC9559819","","10.3389/fpsyg.2022.943785"
"35712161","How Stress Can Change Our Deepest Preferences: Stress Habituation Explained Using the Free Energy Principle","Hartwig M, Bhat A, Peters A.","Front Psychol. 2022 May 31;13:865203. doi: 10.3389/fpsyg.2022.865203. eCollection 2022.","Hartwig M","Front Psychol","2022","2022/06/17","PMC9195169","","10.3389/fpsyg.2022.865203"
"34563472","The Markov blanket trick: On the scope of the free energy principle and active inference","Raja V, Valluri D, Baggs E, Chemero A, Anderson ML.","Phys Life Rev. 2021 Dec;39:49-72. doi: 10.1016/j.plrev.2021.09.001. Epub 2021 Sep 14.","Raja V","Phys Life Rev","2021","2021/09/26","","","10.1016/j.plrev.2021.09.001"
"34267621","Keeping the Breath in Mind: Respiration, Neural Oscillations, and the Free Energy Principle","Boyadzhieva A, Kayhan E.","Front Neurosci. 2021 Jun 29;15:647579. doi: 10.3389/fnins.2021.647579. eCollection 2021.","Boyadzhieva A","Front Neurosci","2021","2021/07/16","PMC8275985","","10.3389/fnins.2021.647579"
"24062658","Minimal self-models and the free energy principle","Limanowski J, Blankenburg F.","Front Hum Neurosci. 2013 Sep 12;7:547. doi: 10.3389/fnhum.2013.00547.","Limanowski J","Front Hum Neurosci","2013","2013/09/25","PMC3770917","","10.3389/fnhum.2013.00547"
"36228614","In vitro neurons learn and exhibit sentience when embodied in a simulated game-world","Kagan BJ, Kitchen AC, Tran NT, Habibollahi F, Khajehnejad M, Parker BJ, Bhat A, Rollo B, Razi A, Friston KJ.","Neuron. 2022 Dec 7;110(23):3952-3969.e8. doi: 10.1016/j.neuron.2022.09.001. Epub 2022 Oct 12.","Kagan BJ","Neuron","2022","2022/10/13","PMC9747182","","10.1016/j.neuron.2022.09.001"
"34441216","Some Interesting Observations on the Free Energy Principle","Friston KJ, Da Costa L, Parr T.","Entropy (Basel). 2021 Aug 19;23(8):1076. doi: 10.3390/e23081076.","Friston KJ","Entropy (Basel)","2021","2021/08/27","PMC8391698","","10.3390/e23081076"
"30996493","The anticipating brain is not a scientist: the free-energy principle from an ecological-enactive perspective","Bruineberg J, Kiverstein J, Rietveld E.","Synthese. 2018;195(6):2417-2444. doi: 10.1007/s11229-016-1239-1. Epub 2016 Oct 21.","Bruineberg J","Synthese","2018","2019/04/19","PMC6438652","","10.1007/s11229-016-1239-1"
