PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33597069","Friston's free energy principle: new life for psychoanalysis?","Holmes J.","BJPsych Bull. 2022 Jun;46(3):164-168. doi: 10.1192/bjb.2021.6.","Holmes J","BJPsych Bull","2022","2021/02/18","PMC9345684","","10.1192/bjb.2021.6"
"35429483","Friston's theory of everything","McCrone J.","Lancet Neurol. 2022 May;21(5):494. doi: 10.1016/S1474-4422(22)00137-5.","McCrone J","Lancet Neurol","2022","2022/04/16","","","10.1016/S1474-4422(22)00137-5"
"10860804","Voxel-based morphometry--the methods","Ashburner J, Friston KJ.","Neuroimage. 2000 Jun;11(6 Pt 1):805-21. doi: 10.1006/nimg.2000.0582.","Ashburner J","Neuroimage","2000","2000/06/22","","","10.1006/nimg.2000.0582"
"36172756","Scientific realism about Friston blankets without literalism","Kiverstein J, Kirchhoff M.","Behav Brain Sci. 2022 Sep 29;45:e200. doi: 10.1017/S0140525X22000267.","Kiverstein J","Behav Brain Sci","2022","2022/09/29","","","10.1017/S0140525X22000267"
"24179229","Structural and functional brain networks: from connections to cognition","Park HJ, Friston K.","Science. 2013 Nov 1;342(6158):1238411. doi: 10.1126/science.1238411.","Park HJ","Science","2013","2013/11/02","","","10.1126/science.1238411"
"22432952","Functional and effective connectivity: a review","Friston KJ.","Brain Connect. 2011;1(1):13-36. doi: 10.1089/brain.2011.0008.","Friston KJ","Brain Connect","2011","2012/03/22","","","10.1089/brain.2011.0008"
"33256441","Bayesian Dysconnections","Friston KJ.","Am J Psychiatry. 2020 Dec 1;177(12):1110-1112. doi: 10.1176/appi.ajp.2020.20091421.","Friston KJ","Am J Psychiatry","2020","2020/12/01","","","10.1176/appi.ajp.2020.20091421"
"27482041","Biological v. psychotherapeutic: Friston and psychodynamic therapy","Holmes JA.","Br J Psychiatry. 2016 Aug;209(2):171. doi: 10.1192/bjp.209.2.171.","Holmes JA","Br J Psychiatry","2016","2016/08/03","","","10.1192/bjp.209.2.171"
"37154143","Really radical?","Friston K.","Behav Brain Sci. 2023 May 8;46:e93. doi: 10.1017/S0140525X2200276X.","Friston K","Behav Brain Sci","2023","2023/05/08","","","10.1017/S0140525X2200276X"
"36172754","Practical implications from distinguishing between Pearl blankets and Friston blankets","Fox S.","Behav Brain Sci. 2022 Sep 29;45:e194. doi: 10.1017/S0140525X22000061.","Fox S","Behav Brain Sci","2022","2022/09/29","","","10.1017/S0140525X22000061"
"30359960","Attention or salience?","Parr T, Friston KJ.","Curr Opin Psychol. 2019 Oct;29:1-5. doi: 10.1016/j.copsyc.2018.10.006. Epub 2018 Oct 15.","Parr T","Curr Opin Psychol","2019","2018/10/26","","","10.1016/j.copsyc.2018.10.006"
