PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38820980","Global neural self-disturbance in schizophrenia: A systematic fMRI review","Sabbah SG, Northoff G.","Schizophr Res. 2024 Jul;269:163-173. doi: 10.1016/j.schres.2024.05.015. Epub 2024 May 30.","Sabbah SG","Schizophr Res","2024","2024/05/31","","","10.1016/j.schres.2024.05.015"
"38920527","The Universal Optimism of the Self-Evidencing Mind","Fisher EL, Hohwy J.","Entropy (Basel). 2024 Jun 17;26(6):518. doi: 10.3390/e26060518.","Fisher EL","Entropy (Basel)","2024","2024/06/26","PMC11202793","","10.3390/e26060518"
"38689714","Bayesian brain computing and the free-energy principle: an interview with Karl Friston","Lu W.","Natl Sci Rev. 2024 Jan 17;11(5):nwae025. doi: 10.1093/nsr/nwae025. eCollection 2024 May.","Lu W","Natl Sci Rev","2024","2024/05/01","PMC11060478","","10.1093/nsr/nwae025"
"38667897","Friston, Free Energy, and Psychoanalytic Psychotherapy","Holmes J.","Entropy (Basel). 2024 Apr 18;26(4):343. doi: 10.3390/e26040343.","Holmes J","Entropy (Basel)","2024","2024/04/26","PMC11049609","","10.3390/e26040343"
"38266512","Does a strange particle depend on its permanent non-equilibrium? Comment on ""Path integrals, particular kinds, and strange things"" by Karl Friston et al","Fernandez-Leon JA, Arlego M.","Phys Life Rev. 2024 Mar;48:172-173. doi: 10.1016/j.plrev.2024.01.005. Epub 2024 Jan 17.","Fernandez-Leon JA","Phys Life Rev","2024","2024/01/24","","","10.1016/j.plrev.2024.01.005"
"38069624","Understanding and explaining depression: From Karl Jaspers to Karl Friston","Davey CG.","Aust N Z J Psychiatry. 2024 Jan;58(1):5-9. doi: 10.1177/00048674231219178. Epub 2023 Dec 9.","Davey CG","Aust N Z J Psychiatry","2024","2023/12/09","","","10.1177/00048674231219178"
"36754715","Brain evolution and the meaning of catatonia - An update","Fricchione G.","Schizophr Res. 2024 Jan;263:139-150. doi: 10.1016/j.schres.2023.01.026. Epub 2023 Feb 7.","Fricchione G","Schizophr Res","2024","2023/02/08","","","10.1016/j.schres.2023.01.026"
"37992466","From physics to sentience: Deciphering the semantics of the free-energy principle and evaluating its claims: Comment on ""Path integrals, particular kinds, and strange things"" by Karl Friston et al","Sheikhbahaee Z, Safron A, Hesp C, Dumas G.","Phys Life Rev. 2023 Dec;47:276-278. doi: 10.1016/j.plrev.2023.11.004. Epub 2023 Nov 17.","Sheikhbahaee Z","Phys Life Rev","2023","2023/11/22","","","10.1016/j.plrev.2023.11.004"
"37882881","Playing Brains: The Ethical Challenges Posed by Silicon Sentience and Hybrid Intelligence in DishBrain","Milford SR, Shaw D, Starke G.","Sci Eng Ethics. 2023 Oct 26;29(6):38. doi: 10.1007/s11948-023-00457-x.","Milford SR","Sci Eng Ethics","2023","2023/10/26","PMC10602981","","10.1007/s11948-023-00457-x"
"37141962","Understanding visual hallucinations: A new synthesis","Collerton D, Barnes J, Diederich NJ, Dudley R, Ffytche D, Friston K, Goetz CG, Goldman JG, Jardri R, Kulisevsky J, Lewis SJG, Nara S, O'Callaghan C, Onofrj M, Pagonabarraga J, Parr T, Shine JM, Stebbins G, Taylor JP, Tsuda I, Weil RS.","Neurosci Biobehav Rev. 2023 Jul;150:105208. doi: 10.1016/j.neubiorev.2023.105208. Epub 2023 May 2.","Collerton D","Neurosci Biobehav Rev","2023","2023/05/04","","","10.1016/j.neubiorev.2023.105208"
"33597069","Friston's free energy principle: new life for psychoanalysis?","Holmes J.","BJPsych Bull. 2022 Jun;46(3):164-168. doi: 10.1192/bjb.2021.6.","Holmes J","BJPsych Bull","2022","2021/02/18","PMC9345684","","10.1192/bjb.2021.6"
"34284698","Beyond the death drive: Entropy and free energy","Rabeyron T.","Int J Psychoanal. 2021 Oct;102(5):878-905. doi: 10.1080/00207578.2021.1932514. Epub 2021 Jul 21.","Rabeyron T","Int J Psychoanal","2021","2021/07/21","","","10.1080/00207578.2021.1932514"
