PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34758480","Predictive Coding, Variational Autoencoders, and Biological Connections","Marino J.","Neural Comput. 2021 Dec 15;34(1):1-44. doi: 10.1162/neco_a_01458.","Marino J","Neural Comput","2021","2021/11/10","","","10.1162/neco_a_01458"
"35308621","A Predictive Coding Framework for Understanding Major Depression","Gilbert JR, Wusinich C, Zarate CA Jr.","Front Hum Neurosci. 2022 Mar 3;16:787495. doi: 10.3389/fnhum.2022.787495. eCollection 2022.","Gilbert JR","Front Hum Neurosci","2022","2022/03/21","PMC8927302","","10.3389/fnhum.2022.787495"
"29250827","Predictive coding in auditory perception: challenges and unresolved questions","Denham SL, Winkler I.","Eur J Neurosci. 2020 Mar;51(5):1151-1160. doi: 10.1111/ejn.13802. Epub 2018 Jan 16.","Denham SL","Eur J Neurosci","2020","2017/12/19","","","10.1111/ejn.13802"
"36937818","Hierarchical predictive coding in distributed pain circuits","Chen ZS.","Front Neural Circuits. 2023 Mar 3;17:1073537. doi: 10.3389/fncir.2023.1073537. eCollection 2023.","Chen ZS","Front Neural Circuits","2023","2023/03/20","PMC10020379","","10.3389/fncir.2023.1073537"
"36057473","A predictive coding framework of allostatic-interoceptive overload in frontotemporal dementia","Migeot JA, Duran-Aniotz CA, Signorelli CM, Piguet O, Ibáñez A.","Trends Neurosci. 2022 Nov;45(11):838-853. doi: 10.1016/j.tins.2022.08.005. Epub 2022 Sep 1.","Migeot JA","Trends Neurosci","2022","2022/09/03","","","10.1016/j.tins.2022.08.005"
"32733298","A Predictive Coding Perspective on Mismatch Negativity Impairment in Schizophrenia","Kirihara K, Tada M, Koshiyama D, Fujioka M, Usui K, Araki T, Kasai K.","Front Psychiatry. 2020 Jul 8;11:660. doi: 10.3389/fpsyt.2020.00660. eCollection 2020.","Kirihara K","Front Psychiatry","2020","2020/08/01","PMC7360815","","10.3389/fpsyt.2020.00660"
"35609683","A predictive coding account of value-based learning in PTSD: Implications for precision treatments","Putica A, Felmingham KL, Garrido MI, O'Donnell ML, Van Dam NT.","Neurosci Biobehav Rev. 2022 Jul;138:104704. doi: 10.1016/j.neubiorev.2022.104704. Epub 2022 May 21.","Putica A","Neurosci Biobehav Rev","2022","2022/05/24","","","10.1016/j.neubiorev.2022.104704"
"26302308","Predictive coding","Huang Y, Rao RPN.","Wiley Interdiscip Rev Cogn Sci. 2011 Sep;2(5):580-593. doi: 10.1002/wcs.142. Epub 2011 Mar 24.","Huang Y","Wiley Interdiscip Rev Cogn Sci","2011","2015/08/25","","","10.1002/wcs.142"
"30007575","The Predictive Coding Account of Psychosis","Sterzer P, Adams RA, Fletcher P, Frith C, Lawrie SM, Muckli L, Petrovic P, Uhlhaas P, Voss M, Corlett PR.","Biol Psychiatry. 2018 Nov 1;84(9):634-643. doi: 10.1016/j.biopsych.2018.05.015. Epub 2018 May 25.","Sterzer P","Biol Psychiatry","2018","2018/07/16","PMC6169400","NIHMS987515","10.1016/j.biopsych.2018.05.015"
"31064839","Predictive Coding with Neural Transmission Delays: A Real-Time Temporal Alignment Hypothesis","Hogendoorn H, Burkitt AN.","eNeuro. 2019 May 7;6(2):ENEURO.0412-18.2019. doi: 10.1523/ENEURO.0412-18.2019. Print 2019 Mar/Apr.","Hogendoorn H","eNeuro","2019","2019/05/09","PMC6506824","","10.1523/ENEURO.0412-18.2019"
"34240109","Evidence and implications of abnormal predictive coding in dementia","Kocagoncu E, Klimovich-Gray A, Hughes LE, Rowe JB.","Brain. 2021 Dec 16;144(11):3311-3321. doi: 10.1093/brain/awab254.","Kocagoncu E","Brain","2021","2021/07/09","PMC8677549","EMS133027","10.1093/brain/awab254"
"28942084","With or without you: predictive coding and Bayesian inference in the brain","Aitchison L, Lengyel M.","Curr Opin Neurobiol. 2017 Oct;46:219-227. doi: 10.1016/j.conb.2017.08.010. Epub 2017 Sep 21.","Aitchison L","Curr Opin Neurobiol","2017","2017/09/25","PMC5836998","EMS76283","10.1016/j.conb.2017.08.010"
"26407895","Structural coding versus free-energy predictive coding","van der Helm PA.","Psychon Bull Rev. 2016 Jun;23(3):663-77. doi: 10.3758/s13423-015-0938-9.","van der Helm PA","Psychon Bull Rev","2016","2015/09/27","","","10.3758/s13423-015-0938-9"
"26861559","Can predictive coding explain repetition suppression?","Grotheer M, Kovács G.","Cortex. 2016 Jul;80:113-24. doi: 10.1016/j.cortex.2015.11.027. Epub 2016 Jan 19.","Grotheer M","Cortex","2016","2016/02/11","","","10.1016/j.cortex.2015.11.027"
"26809759","A review of predictive coding algorithms","Spratling MW.","Brain Cogn. 2017 Mar;112:92-97. doi: 10.1016/j.bandc.2015.11.003. Epub 2016 Jan 19.","Spratling MW","Brain Cogn","2017","2016/01/27","","","10.1016/j.bandc.2015.11.003"
"32771121","Predictive coding: Neuroscience and art","Wolf J.","Prog Brain Res. 2020;253:139-167. doi: 10.1016/bs.pbr.2020.06.018. Epub 2020 Jul 22.","Wolf J","Prog Brain Res","2020","2020/08/11","","","10.1016/bs.pbr.2020.06.018"
"35358258","On the relationship between predictive coding and backpropagation","Rosenbaum R.","PLoS One. 2022 Mar 31;17(3):e0266102. doi: 10.1371/journal.pone.0266102. eCollection 2022.","Rosenbaum R","PLoS One","2022","2022/03/31","PMC8970408","","10.1371/journal.pone.0266102"
"29860087","Decision-making in schizophrenia: A predictive-coding perspective","Sterzer P, Voss M, Schlagenhauf F, Heinz A.","Neuroimage. 2019 Apr 15;190:133-143. doi: 10.1016/j.neuroimage.2018.05.074. Epub 2018 May 31.","Sterzer P","Neuroimage","2019","2018/06/04","","","10.1016/j.neuroimage.2018.05.074"
"33595765","Predictive coding models for pain perception","Song Y, Yao M, Kemprecos H, Byrne A, Xiao Z, Zhang Q, Singh A, Wang J, Chen ZS.","J Comput Neurosci. 2021 May;49(2):107-127. doi: 10.1007/s10827-021-00780-x. Epub 2021 Feb 17.","Song Y","J Comput Neurosci","2021","2021/02/17","PMC8046732","NIHMS1674835","10.1007/s10827-021-00780-x"
"35290181","Corticofugal regulation of predictive coding","Lesicko AMH, Angeloni CF, Blackwell JM, De Biasi M, Geffen MN.","Elife. 2022 Mar 15;11:e73289. doi: 10.7554/eLife.73289.","Lesicko AMH","Elife","2022","2022/03/15","PMC8983050","","10.7554/eLife.73289"
"27917138","Neural Elements for Predictive Coding","Shipp S.","Front Psychol. 2016 Nov 18;7:1792. doi: 10.3389/fpsyg.2016.01792. eCollection 2016.","Shipp S","Front Psychol","2016","2016/12/06","PMC5114244","","10.3389/fpsyg.2016.01792"
"27114093","The relationship between cognitive penetration and predictive coding","Macpherson F.","Conscious Cogn. 2017 Jan;47:6-16. doi: 10.1016/j.concog.2016.04.001. Epub 2016 Apr 22.","Macpherson F","Conscious Cogn","2017","2016/04/27","","","10.1016/j.concog.2016.04.001"
"33132932","Auditory Mismatch Negativity Under Predictive Coding Framework and Its Role in Psychotic Disorders","Fong CY, Law WHC, Uka T, Koike S.","Front Psychiatry. 2020 Sep 10;11:557932. doi: 10.3389/fpsyt.2020.557932. eCollection 2020.","Fong CY","Front Psychiatry","2020","2020/11/02","PMC7511529","","10.3389/fpsyt.2020.557932"
"32912603","Predictive coding as a model of sensory disconnection: relevance to anaesthetic mechanisms","Sanders RD, Casey C, Saalmann YB.","Br J Anaesth. 2021 Jan;126(1):37-40. doi: 10.1016/j.bja.2020.08.017. Epub 2020 Sep 8.","Sanders RD","Br J Anaesth","2021","2020/09/11","","","10.1016/j.bja.2020.08.017"
"25447372","Predictive coding accounts of shared representations in parieto-insular networks","Ishida H, Suzuki K, Grandi LC.","Neuropsychologia. 2015 Apr;70:442-54. doi: 10.1016/j.neuropsychologia.2014.10.020. Epub 2014 Oct 24.","Ishida H","Neuropsychologia","2015","2014/12/03","","","10.1016/j.neuropsychologia.2014.10.020"
"36577388","Where is the error? Hierarchical predictive coding through dendritic error computation","Mikulasch FA, Rudelt L, Wibral M, Priesemann V.","Trends Neurosci. 2023 Jan;46(1):45-59. doi: 10.1016/j.tins.2022.09.007. Epub 2022 Nov 18.","Mikulasch FA","Trends Neurosci","2023","2022/12/28","","","10.1016/j.tins.2022.09.007"
"25859192","Predictive coding and multisensory integration: an attentional account of the multisensory mind","Talsma D.","Front Integr Neurosci. 2015 Mar 26;9:19. doi: 10.3389/fnint.2015.00019. eCollection 2015.","Talsma D","Front Integr Neurosci","2015","2015/04/11","PMC4374459","","10.3389/fnint.2015.00019"
"35308615","Imprecise Predictive Coding Is at the Core of Classical Schizophrenia","Liddle PF, Liddle EB.","Front Hum Neurosci. 2022 Mar 3;16:818711. doi: 10.3389/fnhum.2022.818711. eCollection 2022.","Liddle PF","Front Hum Neurosci","2022","2022/03/21","PMC8928728","","10.3389/fnhum.2022.818711"
"27329550","Noise, uncertainty, and interest: Predictive coding and cognitive penetration","Vance J, Stokes D.","Conscious Cogn. 2017 Jan;47:86-98. doi: 10.1016/j.concog.2016.06.007. Epub 2016 Jun 18.","Vance J","Conscious Cogn","2017","2016/06/23","","","10.1016/j.concog.2016.06.007"
"28843211","Predictive coding: A contemporary view on the burden of normality and forced normalization in individuals undergoing epilepsy surgery","Mehmood S, Dale C, Parry M, Snead C, Valiante TA.","Epilepsy Behav. 2017 Oct;75:110-113. doi: 10.1016/j.yebeh.2017.06.042. Epub 2017 Aug 24.","Mehmood S","Epilepsy Behav","2017","2017/08/27","","","10.1016/j.yebeh.2017.06.042"
"32437205","Hallucinations in posttraumatic stress disorder: Insights from predictive coding","Lyndon S, Corlett PR.","J Abnorm Psychol. 2020 Aug;129(6):534-543. doi: 10.1037/abn0000531. Epub 2020 May 21.","Lyndon S","J Abnorm Psychol","2020","2020/05/22","","","10.1037/abn0000531"
