PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"39005028","A model linking emotional dysregulation in neurodivergent people to the proprioceptive impact of joint hypermobility","Eccles JA, Quadt L, Garfinkel SN, Critchley HD.","Philos Trans R Soc Lond B Biol Sci. 2024 Aug 26;379(1908):20230247. doi: 10.1098/rstb.2023.0247. Epub 2024 Jul 15.","Eccles JA","Philos Trans R Soc Lond B Biol Sci","2024","2024/07/15","","","10.1098/rstb.2023.0247"
"38871038","Updating predictions in a complex repertoire of actions and its neural representation","Selvan RN, Cheng M, Siestrup S, Mecklenbrauck F, Jainta B, Pomp J, Zahedi A, Tamosiunaite M, Wörgötter F, Schubotz RI.","Neuroimage. 2024 Aug 1;296:120687. doi: 10.1016/j.neuroimage.2024.120687. Epub 2024 Jun 12.","Selvan RN","Neuroimage","2024","2024/06/13","","","10.1016/j.neuroimage.2024.120687"
"38734533","Experimental evidence for a robust, transdiagnostic marker in functional disorders: Erroneous sensorimotor processing in functional dizziness and functional movement disorder","Regnath F, Biersack K, Schröder L, Stainer MC, von Werder D, Pürner D, Haslinger B, Lehnen N.","J Psychosom Res. 2024 Aug;183:111694. doi: 10.1016/j.jpsychores.2024.111694. Epub 2024 May 5.","Regnath F","J Psychosom Res","2024","2024/05/11","","","10.1016/j.jpsychores.2024.111694"
"38718945","Mechanistic studies in pathological health anxiety: A systematic review and emerging conceptual framework","Guthrie AJ, Paredes-Echeverri S, Bleier C, Adams C, Millstein DJ, Ranford J, Perez DL.","J Affect Disord. 2024 Aug 1;358:222-249. doi: 10.1016/j.jad.2024.05.029. Epub 2024 May 6.","Guthrie AJ","J Affect Disord","2024","2024/05/08","","","10.1016/j.jad.2024.05.029"
"39010656","Neural oscillations suggest periodicity encoding during auditory beat processing in the premature brain","Edalati M, Wallois F, Ghostine G, Kongolo G, Trainor LJ, Moghimi S.","Dev Sci. 2024 Jul 15:e13550. doi: 10.1111/desc.13550. Online ahead of print.","Edalati M","Dev Sci","2024","2024/07/16","","","10.1111/desc.13550"
"38697558","Decoding familiar visual object categories in the mu rhythm oscillatory response","Bailey KM, Sami S, Smith FW.","Neuropsychologia. 2024 Jul 4;199:108900. doi: 10.1016/j.neuropsychologia.2024.108900. Epub 2024 Apr 30.","Bailey KM","Neuropsychologia","2024","2024/05/02","","","10.1016/j.neuropsychologia.2024.108900"
"38878494","Neural oscillations during predictive sentence processing in young children","Benítez-Barrera CR, Behboudi MH, Maguire MJ.","Brain Lang. 2024 Jul;254:105437. doi: 10.1016/j.bandl.2024.105437. Epub 2024 Jun 14.","Benítez-Barrera CR","Brain Lang","2024","2024/06/15","","","10.1016/j.bandl.2024.105437"
"38764129","Suppression and omission effects in auditory predictive processing-Two of the same?","Tast V, Schröger E, Widmann A.","Eur J Neurosci. 2024 Jul;60(2):4049-4062. doi: 10.1111/ejn.16393. Epub 2024 May 19.","Tast V","Eur J Neurosci","2024","2024/05/19","","","10.1111/ejn.16393"
"38695762","Contributions of Basal Ganglia Circuits to Perception, Attention, and Consciousness","Redinbaugh MJ, Saalmann YB.","J Cogn Neurosci. 2024 Jul 1;36(8):1620-1642. doi: 10.1162/jocn_a_02177.","Redinbaugh MJ","J Cogn Neurosci","2024","2024/05/02","PMC11223727","","10.1162/jocn_a_02177"
"38615600","Perception of visual and audiovisual trajectories toward and away from the body in the first postnatal year","Orioli G, Dragovic D, Farroni T.","J Exp Child Psychol. 2024 Jul;243:105921. doi: 10.1016/j.jecp.2024.105921. Epub 2024 Apr 13.","Orioli G","J Exp Child Psychol","2024","2024/04/14","","","10.1016/j.jecp.2024.105921"
