PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33597069","Friston's free energy principle: new life for psychoanalysis?","Holmes J.","BJPsych Bull. 2022 Jun;46(3):164-168. doi: 10.1192/bjb.2021.6.","Holmes J","BJPsych Bull","2022","2021/02/18","PMC9345684","","10.1192/bjb.2021.6"
"26360571","Karl Friston: resisting the philosopause","Holmes D.","Lancet Psychiatry. 2014 Jul;1(2):117. doi: 10.1016/S2215-0366(14)70292-5. Epub 2014 Jul 9.","Holmes D","Lancet Psychiatry","2014","2015/09/12","","","10.1016/S2215-0366(14)70292-5"
"22023741","SPM: a history","Ashburner J.","Neuroimage. 2012 Aug 15;62(2):791-800. doi: 10.1016/j.neuroimage.2011.10.025. Epub 2011 Oct 17.","Ashburner J","Neuroimage","2012","2011/10/26","PMC3480642","","10.1016/j.neuroimage.2011.10.025"
"30319479","Making Worlds in a Waking Dream: Where Bion Intersects Friston on the Shaping and Breaking of Psychic Reality","Mellor MJ.","Front Psychol. 2018 Sep 27;9:1674. doi: 10.3389/fpsyg.2018.01674. eCollection 2018.","Mellor MJ","Front Psychol","2018","2018/10/16","PMC6171158","","10.3389/fpsyg.2018.01674"
"31551719","The Dialectics of Free Energy Minimization","Boonstra EA, Slagter HA.","Front Syst Neurosci. 2019 Sep 10;13:42. doi: 10.3389/fnsys.2019.00042. eCollection 2019.","Boonstra EA","Front Syst Neurosci","2019","2019/09/26","PMC6746971","","10.3389/fnsys.2019.00042"
"37141962","Understanding visual hallucinations: A new synthesis","Collerton D, Barnes J, Diederich NJ, Dudley R, Ffytche D, Friston K, Goetz CG, Goldman JG, Jardri R, Kulisevsky J, Lewis SJG, Nara S, O'Callaghan C, Onofrj M, Pagonabarraga J, Parr T, Shine JM, Stebbins G, Taylor JP, Tsuda I, Weil RS.","Neurosci Biobehav Rev. 2023 Jul;150:105208. doi: 10.1016/j.neubiorev.2023.105208. Epub 2023 May 2.","Collerton D","Neurosci Biobehav Rev","2023","2023/05/04","","","10.1016/j.neubiorev.2023.105208"
"30732842","The contemplative exercise through the lenses of predictive processing: A promising approach","Pagnoni G.","Prog Brain Res. 2019;244:299-322. doi: 10.1016/bs.pbr.2018.10.022. Epub 2019 Jan 3.","Pagnoni G","Prog Brain Res","2019","2019/02/09","","","10.1016/bs.pbr.2018.10.022"
"22586414","Free-energy minimization and the dark-room problem","Friston K, Thornton C, Clark A.","Front Psychol. 2012 May 8;3:130. doi: 10.3389/fpsyg.2012.00130. eCollection 2012.","Friston K","Front Psychol","2012","2012/05/16","PMC3347222","","10.3389/fpsyg.2012.00130"
"34284698","Beyond the death drive: Entropy and free energy","Rabeyron T.","Int J Psychoanal. 2021 Oct;102(5):878-905. doi: 10.1080/00207578.2021.1932514. Epub 2021 Jul 21.","Rabeyron T","Int J Psychoanal","2021","2021/07/21","","","10.1080/00207578.2021.1932514"
"36754715","Brain evolution and the meaning of catatonia - An update","Fricchione G.","Schizophr Res. 2023 Feb 7:S0920-9964(23)00038-5. doi: 10.1016/j.schres.2023.01.026. Online ahead of print.","Fricchione G","Schizophr Res","2023","2023/02/08","","","10.1016/j.schres.2023.01.026"
"33489551","The Clinical, Philosophical, Evolutionary and Mathematical Machinery of Consciousness: An Analytic Dissection of the Field Theories and a Consilience of Ideas","Kesserwani H.","Cureus. 2020 Dec 18;12(12):e12139. doi: 10.7759/cureus.12139.","Kesserwani H","Cureus","2020","2021/01/25","PMC7813534","","10.7759/cureus.12139"
"31607878","Lessons From Astronomy and Biology for the Mind-Copernican Revolution in Neuroscience","Northoff G.","Front Hum Neurosci. 2019 Sep 19;13:319. doi: 10.3389/fnhum.2019.00319. eCollection 2019.","Northoff G","Front Hum Neurosci","2019","2019/10/15","PMC6761250","","10.3389/fnhum.2019.00319"
"34727729","Sex and Prediction Error, Part 2: Jouissance and The Free Energy Principle in Neuropsychoanalysis","Dall'Aglio J.","J Am Psychoanal Assoc. 2021 Aug;69(4):715-741. doi: 10.1177/00030651211042377.","Dall'Aglio J","J Am Psychoanal Assoc","2021","2021/11/03","","","10.1177/00030651211042377"
"33266776","From Learning to Consciousness: An Example Using Expected Float Entropy Minimisation","Mason JWD.","Entropy (Basel). 2019 Jan 13;21(1):60. doi: 10.3390/e21010060.","Mason JWD","Entropy (Basel)","2019","2020/12/03","PMC7514169","","10.3390/e21010060"
"32818063","How mood tunes prediction: a neurophenomenological account of mood and its disturbance in major depression","Kiverstein J, Miller M, Rietveld E.","Neurosci Conscious. 2020 Jun 2;2020(1):niaa003. doi: 10.1093/nc/niaa003. eCollection 2020.","Kiverstein J","Neurosci Conscious","2020","2020/08/21","PMC7425816","","10.1093/nc/niaa003"
"11707101","""Voxel-based morphometry"" should not be used with imperfectly registered images","Bookstein FL.","Neuroimage. 2001 Dec;14(6):1454-62. doi: 10.1006/nimg.2001.0770.","Bookstein FL","Neuroimage","2001","2001/11/15","","","10.1006/nimg.2001.0770"
"24137116","The embodied transcendental: a Kantian perspective on neurophenomenology","Khachouf OT, Poletti S, Pagnoni G.","Front Hum Neurosci. 2013 Sep 30;7:611. doi: 10.3389/fnhum.2013.00611. eCollection 2013.","Khachouf OT","Front Hum Neurosci","2013","2013/10/19","PMC3786226","","10.3389/fnhum.2013.00611"
"19226186","Causal modelling and brain connectivity in functional magnetic resonance imaging","Friston K.","PLoS Biol. 2009 Feb 17;7(2):e33. doi: 10.1371/journal.pbio.1000033.","Friston K","PLoS Biol","2009","2009/02/20","PMC2642881","","10.1371/journal.pbio.1000033"
"27471478","Free Energy and Virtual Reality in Neuroscience and Psychoanalysis: A Complexity Theory of Dreaming and Mental Disorder","Hopkins J.","Front Psychol. 2016 Jul 15;7:922. doi: 10.3389/fpsyg.2016.00922. eCollection 2016.","Hopkins J","Front Psychol","2016","2016/07/30","PMC4946392","","10.3389/fpsyg.2016.00922"
"23204829","A Free Energy Principle for Biological Systems","Karl F.","Entropy (Basel). 2012 Nov;14(11):2100-2121. doi: 10.3390/e14112100.","Karl F","Entropy (Basel)","2012","2012/12/04","PMC3510653","EMS50455","10.3390/e14112100"
"12140078","Making connections about brain connectivity","Stone JV, Kötter R.","Trends Cogn Sci. 2002 Aug 1;6(8):327-328. doi: 10.1016/s1364-6613(02)01943-5.","Stone JV","Trends Cogn Sci","2002","2002/07/26","","","10.1016/s1364-6613(02)01943-5"
