,title,authors,where_published,year,doi
0,Active inference leads to Bayesian neurophysiology,Isomura T.,Neurosci Res,2022,10.1016/j.neures.2021.12.003
1,Active inference on discrete state-spaces: A synthesis,"Da Costa L, Parr T, Sajid N, Veselic S, Neacsu V, Friston K.",J Math Psychol,2020,10.1016/j.jmp.2020.102447
2,"Active Inference, Novelty and Neglect","Parr T, Friston KJ.",Curr Top Behav Neurosci,2019,10.1007/7854_2018_61
3,Active inference and learning,"Friston K, FitzGerald T, Rigoli F, Schwartenbeck P, O Doherty J, Pezzulo G.",Neurosci Biobehav Rev,2016,10.1016/j.neubiorev.2016.06.022
4,"Active inference, selective attention, and the cocktail party problem","Holmes E, Parr T, Griffiths TD, Friston KJ.",Neurosci Biobehav Rev,2021,10.1016/j.neubiorev.2021.09.038
5,An active inference perspective on the negative symptoms of schizophrenia,"Jeganathan J, Breakspear M.",Lancet Psychiatry,2021,10.1016/S2215-0366(20)30527-7
6,Active inference through whiskers,"Mannella F, Maggiore F, Baltieri M, Pezzulo G.",Neural Netw,2021,10.1016/j.neunet.2021.08.037
7,"Active inference, communication and hermeneutics","Friston KJ, Frith CD.",Cortex,2015,10.1016/j.cortex.2015.03.025
8,Resilience and active inference,"Miller M, Albarracin M, Pitliya RJ, Kiefer A, Mago J, Gorman C, Friston KJ, Ramstead MJD.",Front Psychol,2022,10.3389/fpsyg.2022.1059117
9,"An active inference model of hierarchical action understanding, learning and imitation","Proietti R, Pezzulo G, Tessari A.",Phys Life Rev,2023,10.1016/j.plrev.2023.05.012
10,"Active Inference, homeostatic regulation and adaptive behavioural control","Pezzulo G, Rigoli F, Friston K.",Prog Neurobiol,2015,10.1016/j.pneurobio.2015.09.001
11,An active inference account of protective behaviours during the COVID-19 pandemic,"Bottemanne H, Friston KJ.",Cogn Affect Behav Neurosci,2021,10.3758/s13415-021-00947-0
12,Active Inference: Demystified and Compared,"Sajid N, Ball PJ, Parr T, Friston KJ.",Neural Comput,2021,10.1162/neco_a_01357
13,"Active inference, morphogenesis, and computational psychiatry","Pio-Lopez L, Kuchling F, Tung A, Pezzulo G, Levin M.",Front Comput Neurosci,2022,10.3389/fncom.2022.988977
14,An Active Inference Approach to Interoceptive Psychopathology,"Paulus MP, Feinstein JS, Khalsa SS.",Annu Rev Clin Psychol,2019,10.1146/annurev-clinpsy-050718-095617
15,Active inference and the two-step task,"Gijsen S, Grundei M, Blankenburg F.",Sci Rep,2022,10.1038/s41598-022-21766-4
16,"Active inference, sensory attenuation and illusions","Brown H, Adams RA, Parees I, Edwards M, Friston K.",Cogn Process,2013,10.1007/s10339-013-0571-3
17,Hierarchical Active Inference: A Theory of Motivated Control,"Pezzulo G, Rigoli F, Friston KJ.",Trends Cogn Sci,2018,10.1016/j.tics.2018.01.009
18,Editorial: Enactivism and active inference in the therapeutic alliance,"Duquette P, Cerritelli F, Esteves JE.",Front Psychol,2022,10.3389/fpsyg.2022.1042698
19,The theory of constructed emotion: an active inference account of interoception and categorization,Barrett LF.,Soc Cogn Affect Neurosci,2017,10.1093/scan/nsw154
20,"Generative models, linguistic communication and active inference","Friston KJ, Parr T, Yufik Y, Sajid N, Price CJ, Holmes E.",Neurosci Biobehav Rev,2020,10.1016/j.neubiorev.2020.07.005
21,An Active Inference Account of Skilled Anticipation in Sport: Using Computational Models to Formalise Theory and Generate New Hypotheses,"Harris DJ, Arthur T, Broadbent DP, Wilson MR, Vine SJ, Runswick OR.",Sports Med,2022,10.1007/s40279-022-01689-w
22,Epistemic Communities under Active Inference,"Albarracin M, Demekas D, Ramstead MJD, Heins C.",Entropy (Basel),2022,10.3390/e24040476
23,"Consciousness in active inference: Deep self-models, other minds, and the challenge of psychedelic-induced ego-dissolution",Deane G.,Neurosci Conscious,2021,10.1093/nc/niab024
24,Deep temporal models and active inference,"Friston KJ, Rosch R, Parr T, Price C, Bowman H.",Neurosci Biobehav Rev,2017,10.1016/j.neubiorev.2017.04.009
25,How Active Inference Could Help Revolutionise Robotics,"Da Costa L, Lanillos P, Sajid N, Friston K, Khan S.",Entropy (Basel),2022,10.3390/e24030361
26,Oversampled and undersolved: Depressive rumination from an active inference perspective,"Berg M, Feldmann M, Kirchner L, Kube T.",Neurosci Biobehav Rev,2022,10.1016/j.neubiorev.2022.104873
27,Extended active inference: Constructing predictive cognition beyond skulls,"Constant A, Clark A, Kirchhoff M, Friston KJ.",Mind Lang,2022,10.1111/mila.12330
28,An insula hierarchical network architecture for active interoceptive inference,"Fermin ASR, Friston K, Yamawaki S.",R Soc Open Sci,2022,10.1098/rsos.220226
29,Branching Time Active Inference with Bayesian Filtering,"Champion T, Grześ M, Bowman H.",Neural Comput,2022,10.1162/neco_a_01529
30,Active Inference and Epistemic Value in Graphical Models,"van de Laar T, Koudahl M, van Erp B, de Vries B.",Front Robot AI,2022,10.3389/frobt.2022.794464
31,Deep Active Inference and Scene Construction,"Heins RC, Mirza MB, Parr T, Friston K, Kagan I, Pooresmaeili A.",Front Artif Intell,2020,10.3389/frai.2020.509354
32,Cognitive effort and active inference,"Parr T, Holmes E, Friston KJ, Pezzulo G.",Neuropsychologia,2023,10.1016/j.neuropsychologia.2023.108562
33,Inference of affordances and active motor control in simulated agents,"Scholz F, Gumbsch C, Otte S, Butz MV.",Front Neurorobot,2022,10.3389/fnbot.2022.881673
34,"Understanding, Explanation, and Active Inference","Parr T, Pezzulo G.",Front Syst Neurosci,2021,10.3389/fnsys.2021.772641
35,Deep active inference,Ueltzhöffer K.,Biol Cybern,2018,10.1007/s00422-018-0785-7
36,Canonical neural networks perform active inference,"Isomura T, Shimazaki H, Friston KJ.",Commun Biol,2022,10.1038/s42003-021-02994-2
37,An Active-Inference Approach to Second-Person Neuroscience,"Lehmann K, Bolis D, Friston KJ, Schilbach L, Ramstead MJD, Kanske P.",Perspect Psychol Sci,2023,10.1177/17456916231188000
38,Stress and its sequelae: An active inference account of the etiological pathway from allostatic overload to depression,"Arnaldo I, Corcoran AW, Friston KJ, Ramstead MJD.",Neurosci Biobehav Rev,2022,10.1016/j.neubiorev.2022.104590
39,Contextual perception under active inference,"Mirza MB, Cullen M, Parr T, Shergill S, Moran RJ.",Sci Rep,2021,10.1038/s41598-021-95510-9
40,Active Inferants: An Active Inference Framework for Ant Colony Behavior,"Friedman DA, Tschantz A, Ramstead MJD, Friston K, Constant A.",Front Behav Neurosci,2021,10.3389/fnbeh.2021.647732
