,title,authors,where_published,year,doi
0,The Free Energy Principle for Perception and Action: A Deep Learning Perspective,"Mazzaglia P, Verbelen T, Çatal O, Dhoedt B.",Entropy (Basel),2022,10.3390/e24020301
1,A free energy principle for generic quantum systems,"Fields C, Friston K, Glazebrook JF, Levin M.",Prog Biophys Mol Biol,2022,10.1016/j.pbiomolbio.2022.05.006
2,Friston's free energy principle: new life for psychoanalysis?,Holmes J.,BJPsych Bull,2022,10.1192/bjb.2021.6
3,How particular is the physics of the free energy principle?,"Aguilera M, Millidge B, Tschantz A, Buckley CL.",Phys Life Rev,2022,10.1016/j.plrev.2021.11.001
4,An Investigation of the Free Energy Principle for Emotion Recognition,"Demekas D, Parr T, Friston KJ.",Front Comput Neurosci,2020,10.3389/fncom.2020.00030
5,Applying the Free Energy Principle to Complex Adaptive Systems,"Badcock PB, Ramstead MJD, Sheikhbahaee Z, Constant A.",Entropy (Basel),2022,10.3390/e24050689
6,Neural and phenotypic representation under the free-energy principle,"Ramstead MJD, Hesp C, Tschantz A, Smith R, Constant A, Friston K.",Neurosci Biobehav Rev,2021,10.1016/j.neubiorev.2020.11.024
7,Obesity and Type 2 Diabetes Mellitus Explained by the Free Energy Principle,"Peters A, Hartwig M, Spiller T.",Front Psychol,2022,10.3389/fpsyg.2022.931701
8,A free energy principle for the brain,"Friston K, Kilner J, Harrison L.",J Physiol Paris,2006,10.1016/j.jphysparis.2006.10.001
9,The free-energy principle: a unified brain theory?,Friston K.,Nat Rev Neurosci,2010,10.1038/nrn2787
10,Psychoanalytic psychotherapies and the free energy principle,Rabeyron T.,Front Hum Neurosci,2022,10.3389/fnhum.2022.929940
11,Connecting the free energy principle with quantum cognition,"Gunji YP, Shinohara S, Basios V.",Front Neurorobot,2022,10.3389/fnbot.2022.910161
12,Learned uncertainty: The free energy principle in anxiety,"McGovern HT, De Foe A, Biddell H, Leptourgos P, Corlett P, Bandara K, Hutchinson BT.",Front Psychol,2022,10.3389/fpsyg.2022.943785
13,How Stress Can Change Our Deepest Preferences: Stress Habituation Explained Using the Free Energy Principle,"Hartwig M, Bhat A, Peters A.",Front Psychol,2022,10.3389/fpsyg.2022.865203
14,The Markov blanket trick: On the scope of the free energy principle and active inference,"Raja V, Valluri D, Baggs E, Chemero A, Anderson ML.",Phys Life Rev,2021,10.1016/j.plrev.2021.09.001
15,"Keeping the Breath in Mind: Respiration, Neural Oscillations, and the Free Energy Principle","Boyadzhieva A, Kayhan E.",Front Neurosci,2021,10.3389/fnins.2021.647579
16,Minimal self-models and the free energy principle,"Limanowski J, Blankenburg F.",Front Hum Neurosci,2013,10.3389/fnhum.2013.00547
17,In vitro neurons learn and exhibit sentience when embodied in a simulated game-world,"Kagan BJ, Kitchen AC, Tran NT, Habibollahi F, Khajehnejad M, Parker BJ, Bhat A, Rollo B, Razi A, Friston KJ.",Neuron,2022,10.1016/j.neuron.2022.09.001
18,Some Interesting Observations on the Free Energy Principle,"Friston KJ, Da Costa L, Parr T.",Entropy (Basel),2021,10.3390/e23081076
19,The anticipating brain is not a scientist: the free-energy principle from an ecological-enactive perspective,"Bruineberg J, Kiverstein J, Rietveld E.",Synthese,2018,10.1007/s11229-016-1239-1
20,Experimental validation of the free-energy principle with in vitro neural networks,"Isomura T, Kotani K, Jimbo Y, Friston KJ.",Nat Commun,2023,10.1038/s41467-023-40141-z
21,A Technical Critique of Some Parts of the Free Energy Principle,"Biehl M, Pollock FA, Kanai R.",Entropy (Basel),2021,10.3390/e23030293
22,Fetal brain activity and the free energy principle,"Miyagi Y, Hata T, Miyake T.",J Perinat Med,2023,10.1515/jpm-2023-0092
23,Emergence of sensory attenuation based upon the free-energy principle,"Idei H, Ohata W, Yamashita Y, Ogata T, Tani J.",Sci Rep,2022,10.1038/s41598-022-18207-7
24,"The Markov blankets of life: autonomy, active inference and the free energy principle","Kirchhoff M, Parr T, Palacios E, Friston K, Kiverstein J.",J R Soc Interface,2018,10.1098/rsif.2017.0792
25,Is the Free-Energy Principle a Formal Theory of Semantics? From Variational Density Dynamics to Neural and Phenotypic Representations,"Ramstead MJD, Friston KJ, Hipólito I.",Entropy (Basel),2020,10.3390/e22080889
26,A continuity of Markov blanket interpretations under the free-energy principle,"Seth A, Korbak T, Tschantz A.",Behav Brain Sci,2022,10.1017/S0140525X2200036X
27,The Free Energy Principle: Good Science and Questionable Philosophy in a Grand Unifying Theory,Sánchez-Cañizares J.,Entropy (Basel),2021,10.3390/e23020238
28,Resurrecting Gaia: harnessing the Free Energy Principle to preserve life as we know it,"Montgomery C, Hipólito I.",Front Psychol,2023,10.3389/fpsyg.2023.1206963
29,Nothing but a useful tool? (F)utility and the free-energy principle,Colombo M.,Behav Brain Sci,2022,10.1017/S0140525X22000346
30,The Problem of Meaning: The Free Energy Principle and Artificial Agency,"Kiverstein J, Kirchhoff MD, Froese T.",Front Neurorobot,2022,10.3389/fnbot.2022.844773
31,Uncertainty and stress: Why it causes diseases and how it is mastered by the brain,"Peters A, McEwen BS, Friston K.",Prog Neurobiol,2017,10.1016/j.pneurobio.2017.05.004
32,A Free Energy Principle for Biological Systems,Karl F.,Entropy (Basel),2012,10.3390/e14112100
33,Free Energy Principle in Human Postural Control System: Skin Stretch Feedback Reduces the Entropy,"Hur P, Pan YT, DeBuys C.",Sci Rep,2019,10.1038/s41598-019-53028-1
34,Active Vision for Robot Manipulators Using the Free Energy Principle,"Van de Maele T, Verbelen T, Çatal O, De Boom C, Dhoedt B.",Front Neurorobot,2021,10.3389/fnbot.2021.642780
35,Brain Entropy During Aging Through a Free Energy Principle Approach,"Cieri F, Zhuang X, Caldwell JZK, Cordes D.",Front Hum Neurosci,2021,10.3389/fnhum.2021.647513
36,Is the free-energy principle neurocentric?,Friston K.,Nat Rev Neurosci,2010,10.1038/nrn2787-c2
37,The cost of over-intellectualizing the free-energy principle,Hutto DD.,Behav Brain Sci,2020,10.1017/S0140525X19002851
38,"Maladaptive social norms, cultural progress, and the free-energy principle",Colombo M.,Behav Brain Sci,2020,10.1017/S0140525X19002723
39,Free-energy and the brain,"Friston KJ, Stephan KE.",Synthese,2007,10.1007/s11229-007-9237-y
40,The Hard Problem of Consciousness and the Free Energy Principle,Solms M.,Front Psychol,2019,10.3389/fpsyg.2018.02714
41,Emotional valence and the free-energy principle,"Joffily M, Coricelli G.",PLoS Comput Biol,2013,10.1371/journal.pcbi.1003094
42,"Against free energy, for direct perception","Stoffregen TA, Heath R.",Behav Brain Sci,2022,10.1017/S0140525X22000103
43,"Very particular: Comment on ""How particular is the physics of the free energy principle?""",Friston K.,Phys Life Rev,2022,10.1016/j.plrev.2022.05.002
44,The free-energy principle: a rough guide to the brain?,Friston K.,Trends Cogn Sci,2009,10.1016/j.tics.2009.04.005
45,Recognition Dynamics in the Brain under the Free Energy Principle,Kim CS.,Neural Comput,2018,10.1162/neco_a_01115
46,"From a free energy principle to a free energy model?: Comment on ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by Vicente Raja et al",Palacios P.,Phys Life Rev,2022,10.1016/j.plrev.2022.09.002
47,Answering Schrödinger's question: A free-energy formulation,"Ramstead MJD, Badcock PB, Friston KJ.",Phys Life Rev,2018,10.1016/j.plrev.2017.09.001
48,Embracing sensorimotor history: Time-synchronous and time-unrolled Markov blankets in the free-energy principle,"Virgo N, Rosas FE, Biehl M.",Behav Brain Sci,2022,10.1017/S0140525X22000334
49,Expected Free Energy Formalizes Conflict Underlying Defense in Freudian Psychoanalysis,Connolly P.,Front Psychol,2018,10.3389/fpsyg.2018.01264
50,Linking Neuromodulated Spike-Timing Dependent Plasticity with the Free-Energy Principle,"Isomura T, Sakai K, Kotani K, Jimbo Y.",Neural Comput,2016,10.1162/NECO_a_00862
51,A psychovisual quality metric in free-energy principle,"Zhai G, Wu X, Yang X, Lin W, Zhang W.",IEEE Trans Image Process,2012,10.1109/TIP.2011.2161092
52,Free energy and inference in living systems,Kim CS.,Interface Focus,2023,10.1098/rsfs.2022.0041
53,Free-energy minimization in joint agent-environment systems: A niche construction perspective,"Bruineberg J, Rietveld E, Parr T, van Maanen L, Friston KJ.",J Theor Biol,2018,10.1016/j.jtbi.2018.07.002
54,Predictive coding under the free-energy principle,"Friston K, Kiebel S.",Philos Trans R Soc Lond B Biol Sci,2009,10.1098/rstb.2008.0300
55,"An informal reconstruction of the free-energy framework, examining the conceptual problems that arise",Thornton C.,Neuropsychologia,2022,10.1016/j.neuropsychologia.2022.108281
56,"Regarding flows under the free energy principle: A comment on ""How particular is the physics of the free energy principle?"" by Aguilera, Millidge, Tschantz, and Buckley",Sakthivadivel DAR.,Phys Life Rev,2022,10.1016/j.plrev.2022.05.009
57,"Blankets, heat, and why free energy has not illuminated the workings of the brain","Spector D, Graham D.",Behav Brain Sci,2022,10.1017/S0140525X22000188
58,"Affect-Logic, Embodiment, Synergetics, and the Free Energy Principle: New Approaches to the Understanding and Treatment of Schizophrenia","Ciompi L, Tschacher W.",Entropy (Basel),2021,10.3390/e23121619
59,"A test run of the free energy principle: All for naught?: Comment on ""How particular is the physics of the free energy principle?"" by Miguel Aguilera et al",Di Paolo EA.,Phys Life Rev,2022,10.1016/j.plrev.2022.05.001
60,"Does the free energy principle sleep on it?: Comment on ""How particular is the physics of the free energy principle?"" by Miguel Aguilera et al",Fernandez-Leon JA.,Phys Life Rev,2022,10.1016/j.plrev.2022.07.004
61,Inferential dynamics: Comment on: How particular is the physics of the free energy principle? by Aguilera et al,Parr T.,Phys Life Rev,2022,10.1016/j.plrev.2022.05.006
62,The hierarchically mechanistic mind: A free-energy formulation of the human psyche,"Badcock PB, Friston KJ, Ramstead MJD.",Phys Life Rev,2019,10.1016/j.plrev.2018.10.002
63,Free energy and dendritic self-organization,"Kiebel SJ, Friston KJ.",Front Syst Neurosci,2011,10.3389/fnsys.2011.00080
64,"From the free energy principle to a confederation of Bayesian mechanics: Reply to comments on ""How particular is the physics of the free energy principle?""","Aguilera M, Millidge B, Tschantz A, Buckley CL.",Phys Life Rev,2023,10.1016/j.plrev.2023.01.018
65,"Does the metaphysical dog wag its formal tail? The free-energy principle and philosophical debates about life, mind, and matter",Wiese W.,Behav Brain Sci,2022,10.1017/S0140525X22000292
66,"Patterns and particles: Comment on ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by Raja et al",Parr T.,Phys Life Rev,2022,10.1016/j.plrev.2022.08.001
67,"Particular flows and attracting sets: A comment on ""How particular is the physics of the free energy principle?"" by Aguilera, Millidge, Tschantz and Buckley",Heins C.,Phys Life Rev,2022,10.1016/j.plrev.2022.06.003
68,"Sex and Prediction Error, Part 2: Jouissance and The Free Energy Principle in Neuropsychoanalysis",Dall'Aglio J.,J Am Psychoanal Assoc,2021,10.1177/00030651211042377
69,"Sparse coupling and Markov blankets: A comment on ""How particular is the physics of the Free Energy Principle?"" by Aguilera, Millidge, Tschantz and Buckley","Heins C, Da Costa L.",Phys Life Rev,2022,10.1016/j.plrev.2022.06.001
70,"Living on the edge - practical information geometry for studying the emergence and propagation of life forms: Comment on ""How particular is the physics of the free-energy principle?"" by Aguilera et al","Hesp C, Hipólito I.",Phys Life Rev,2022,10.1016/j.plrev.2022.06.004
71,The growth of cognition: Free energy minimization and the embryogenesis of cortical computation,"Wright JJ, Bourke PD.",Phys Life Rev,2021,10.1016/j.plrev.2020.05.004
72,Turn-Taking Mechanisms in Imitative Interaction: Robotic Social Interaction Based on the Free Energy Principle,"Wirkuttis N, Ohata W, Tani J.",Entropy (Basel),2023,10.3390/e25020263
73,Some puzzles relating to the free-energy principle: comment on Friston,Thornton C.,Trends Cogn Sci,2010,10.1016/j.tics.2009.11.010
74,"The ultimate trick?: Comment on: ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by Raja et al",Friston K.,Phys Life Rev,2022,10.1016/j.plrev.2022.07.007
75,"Co-constructing Markov blankets: Tricky solutions: Comment on ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by Vicente Raja et al","van Es T, Hipólito I.",Phys Life Rev,2022,10.1016/j.plrev.2022.09.001
76,"One person's modus ponens…: Comment on ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by Raja and colleagues (2021)",Ramstead MJD.,Phys Life Rev,2022,10.1016/j.plrev.2022.11.001
77,"The nonequilibrium boundaries of living systems: Comment on ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by V. Raja et al",Aguilera M.,Phys Life Rev,2022,10.1016/j.plrev.2022.08.002
78,Active inference leads to Bayesian neurophysiology,Isomura T.,Neurosci Res,2022,10.1016/j.neures.2021.12.003
79,A simple theory of every 'thing',Hipolito I.,Phys Life Rev,2019,10.1016/j.plrev.2019.10.006
80,"Some minimal notes on notation and minima: A comment on ""How particular is the physics of the free energy principle?"" by Aguilera, Millidge, Tschantz, and Buckley","Ramstead MJD, Sakthivadivel DAR.",Phys Life Rev,2022,10.1016/j.plrev.2022.05.005
81,Hierarchical Recursive Organization and the Free Energy Principle: From Biological Self-Organization to the Psychoanalytic Mind,"Connolly P, van Deventer V.",Front Psychol,2017,10.3389/fpsyg.2017.01695
82,The Energy Homeostasis Principle: A Naturalistic Approach to Explain the Emergence of Behavior,"Vicencio-Jimenez S, Villalobos M, Maldonado PE, Vergara RC.",Front Syst Neurosci,2022,10.3389/fnsys.2021.782781
83,REBUS and the Anarchic Brain: Toward a Unified Model of the Brain Action of Psychedelics,"Carhart-Harris RL, Friston KJ.",Pharmacol Rev,2019,10.1124/pr.118.017160
84,Who tailors the blanket?,"Suzuki K, Miyahara K, Miyazono K.",Behav Brain Sci,2022,10.1017/S0140525X22000206
85,"The free energy principle and autopoiesis: Comment on ""Answering Schrödinger's question: A free-energy formulation"" by Maxwell James Désormeau Ramstead, Paul Benjamin Badcock, Karl John Friston","Bitbol M, Gallagher S.",Phys Life Rev,2018,10.1016/j.plrev.2017.12.011
86,Free energy minimization and information gain: The devil is in the details,"Kwisthout J, van Rooij I.",Cogn Neurosci,2015,10.1080/17588928.2015.1051014
87,Models of the Translation Process and the Free Energy Principle,Carl M.,Entropy (Basel),2023,10.3390/e25060928
88,Beauty and Uncertainty as Transformative Factors: A Free Energy Principle Account of Aesthetic Diagnosis and Intervention in Gestalt Psychotherapy,"Sarasso P, Francesetti G, Roubal J, Gecele M, Ronga I, Neppi-Modona M, Sacco K.",Front Hum Neurosci,2022,10.3389/fnhum.2022.906188
89,Free-energy minimization and the dark-room problem,"Friston K, Thornton C, Clark A.",Front Psychol,2012,10.3389/fpsyg.2012.00130
90,"Particularly average: A comment on ""How particular is the physics of the Free Energy Principle"" by Aguilera et al",Koudahl M.,Phys Life Rev,2022,10.1016/j.plrev.2022.06.002
91,Beyond the death drive: Entropy and free energy,Rabeyron T.,Int J Psychoanal,2021,10.1080/00207578.2021.1932514
92,Information theory in vertebrate stress physiology,"Zimmer C, Woods HA, Martin LB.",Trends Endocrinol Metab,2022,10.1016/j.tem.2021.10.001
93,Neurobiology as Information Physics,Street S.,Front Syst Neurosci,2016,10.3389/fnsys.2016.00090
94,What is mood? A computational perspective,"Clark JE, Watson S, Friston KJ.",Psychol Med,2018,10.1017/S0033291718000430
95,The emperor has no blanket!,"Raja V, Baggs E, Chemero A, Anderson ML.",Behav Brain Sci,2022,10.1017/S0140525X22000243
96,"Unification of free energy minimization, spatiotemporal energy, and dimension reduction models of V1 organization: Postnatal learning on an antenatal scaffold","Wright JJ, Bourke PD.",Front Comput Neurosci,2022,10.3389/fncom.2022.869268
97,An Integrated World Modeling Theory (IWMT) of Consciousness: Combining Integrated Information and Global Neuronal Workspace Theories With the Free Energy Principle and Active Inference Framework; Toward Solving the Hard Problem and Characterizing Agentic Causation,Safron A.,Front Artif Intell,2020,10.3389/frai.2020.00030
98,Unifying treatments for depression: an application of the Free Energy Principle,Chekroud AM.,Front Psychol,2015,10.3389/fpsyg.2015.00153
