,title,authors,where_published,year,doi
0,"Predictive Coding, Variational Autoencoders, and Biological Connections",Marino J.,Neural Comput,2021,10.1162/neco_a_01458
1,A Predictive Coding Framework for Understanding Major Depression,"Gilbert JR, Wusinich C, Zarate CA Jr.",Front Hum Neurosci,2022,10.3389/fnhum.2022.787495
2,Predictive coding in auditory perception: challenges and unresolved questions,"Denham SL, Winkler I.",Eur J Neurosci,2020,10.1111/ejn.13802
3,Hierarchical predictive coding in distributed pain circuits,Chen ZS.,Front Neural Circuits,2023,10.3389/fncir.2023.1073537
4,A predictive coding framework of allostatic-interoceptive overload in frontotemporal dementia,"Migeot JA, Duran-Aniotz CA, Signorelli CM, Piguet O, Ibáñez A.",Trends Neurosci,2022,10.1016/j.tins.2022.08.005
5,A Predictive Coding Perspective on Mismatch Negativity Impairment in Schizophrenia,"Kirihara K, Tada M, Koshiyama D, Fujioka M, Usui K, Araki T, Kasai K.",Front Psychiatry,2020,10.3389/fpsyt.2020.00660
6,A predictive coding account of value-based learning in PTSD: Implications for precision treatments,"Putica A, Felmingham KL, Garrido MI, O'Donnell ML, Van Dam NT.",Neurosci Biobehav Rev,2022,10.1016/j.neubiorev.2022.104704
7,Predictive coding,"Huang Y, Rao RPN.",Wiley Interdiscip Rev Cogn Sci,2011,10.1002/wcs.142
8,The Predictive Coding Account of Psychosis,"Sterzer P, Adams RA, Fletcher P, Frith C, Lawrie SM, Muckli L, Petrovic P, Uhlhaas P, Voss M, Corlett PR.",Biol Psychiatry,2018,10.1016/j.biopsych.2018.05.015
9,Predictive Coding with Neural Transmission Delays: A Real-Time Temporal Alignment Hypothesis,"Hogendoorn H, Burkitt AN.",eNeuro,2019,10.1523/ENEURO.0412-18.2019
10,Evidence and implications of abnormal predictive coding in dementia,"Kocagoncu E, Klimovich-Gray A, Hughes LE, Rowe JB.",Brain,2021,10.1093/brain/awab254
11,With or without you: predictive coding and Bayesian inference in the brain,"Aitchison L, Lengyel M.",Curr Opin Neurobiol,2017,10.1016/j.conb.2017.08.010
12,Structural coding versus free-energy predictive coding,van der Helm PA.,Psychon Bull Rev,2016,10.3758/s13423-015-0938-9
13,Can predictive coding explain repetition suppression?,"Grotheer M, Kovács G.",Cortex,2016,10.1016/j.cortex.2015.11.027
14,A review of predictive coding algorithms,Spratling MW.,Brain Cogn,2017,10.1016/j.bandc.2015.11.003
15,Predictive coding: Neuroscience and art,Wolf J.,Prog Brain Res,2020,10.1016/bs.pbr.2020.06.018
16,On the relationship between predictive coding and backpropagation,Rosenbaum R.,PLoS One,2022,10.1371/journal.pone.0266102
17,Decision-making in schizophrenia: A predictive-coding perspective,"Sterzer P, Voss M, Schlagenhauf F, Heinz A.",Neuroimage,2019,10.1016/j.neuroimage.2018.05.074
18,Predictive coding models for pain perception,"Song Y, Yao M, Kemprecos H, Byrne A, Xiao Z, Zhang Q, Singh A, Wang J, Chen ZS.",J Comput Neurosci,2021,10.1007/s10827-021-00780-x
19,Corticofugal regulation of predictive coding,"Lesicko AMH, Angeloni CF, Blackwell JM, De Biasi M, Geffen MN.",Elife,2022,10.7554/eLife.73289
20,Neural Elements for Predictive Coding,Shipp S.,Front Psychol,2016,10.3389/fpsyg.2016.01792
21,The relationship between cognitive penetration and predictive coding,Macpherson F.,Conscious Cogn,2017,10.1016/j.concog.2016.04.001
22,Auditory Mismatch Negativity Under Predictive Coding Framework and Its Role in Psychotic Disorders,"Fong CY, Law WHC, Uka T, Koike S.",Front Psychiatry,2020,10.3389/fpsyt.2020.557932
23,Predictive coding as a model of sensory disconnection: relevance to anaesthetic mechanisms,"Sanders RD, Casey C, Saalmann YB.",Br J Anaesth,2021,10.1016/j.bja.2020.08.017
24,Predictive coding accounts of shared representations in parieto-insular networks,"Ishida H, Suzuki K, Grandi LC.",Neuropsychologia,2015,10.1016/j.neuropsychologia.2014.10.020
25,Where is the error? Hierarchical predictive coding through dendritic error computation,"Mikulasch FA, Rudelt L, Wibral M, Priesemann V.",Trends Neurosci,2023,10.1016/j.tins.2022.09.007
26,Predictive coding and multisensory integration: an attentional account of the multisensory mind,Talsma D.,Front Integr Neurosci,2015,10.3389/fnint.2015.00019
27,Imprecise Predictive Coding Is at the Core of Classical Schizophrenia,"Liddle PF, Liddle EB.",Front Hum Neurosci,2022,10.3389/fnhum.2022.818711
28,"Noise, uncertainty, and interest: Predictive coding and cognitive penetration","Vance J, Stokes D.",Conscious Cogn,2017,10.1016/j.concog.2016.06.007
29,Predictive coding: A contemporary view on the burden of normality and forced normalization in individuals undergoing epilepsy surgery,"Mehmood S, Dale C, Parry M, Snead C, Valiante TA.",Epilepsy Behav,2017,10.1016/j.yebeh.2017.06.042
30,Hallucinations in posttraumatic stress disorder: Insights from predictive coding,"Lyndon S, Corlett PR.",J Abnorm Psychol,2020,10.1037/abn0000531
31,Brain-inspired Predictive Coding Improves the Performance of Machine Challenging Tasks,"Lee J, Jo J, Lee B, Lee JH, Yoon S.",Front Comput Neurosci,2022,10.3389/fncom.2022.1062678
32,A predictive coding framework for rapid neural dynamics during sentence-level language comprehension,"Lewis AG, Bastiaansen M.",Cortex,2015,10.1016/j.cortex.2015.02.014
33,The promise of layer-specific neuroimaging for testing predictive coding theories of psychosis,"Haarsma J, Kok P, Browning M.",Schizophr Res,2022,10.1016/j.schres.2020.10.009
34,Great Expectations: Is there Evidence for Predictive Coding in Auditory Cortex?,"Heilbron M, Chait M.",Neuroscience,2018,10.1016/j.neuroscience.2017.07.061
35,Associative Memories via Predictive Coding,"Salvatori T, Song Y, Hong Y, Sha L, Frieder S, Xu Z, Bogacz R, Lukasiewicz T.",Adv Neural Inf Process Syst,2021,
36,Predictive coding: an account of the mirror neuron system,"Kilner JM, Friston KJ, Frith CD.",Cogn Process,2007,10.1007/s10339-007-0170-2
37,Repetition suppression and its contextual determinants in predictive coding,"Auksztulewicz R, Friston K.",Cortex,2016,10.1016/j.cortex.2015.11.024
38,Continual Sequence Modeling With Predictive Coding,"Annabi L, Pitti A, Quoy M.",Front Neurorobot,2022,10.3389/fnbot.2022.845955
39,Does predictive coding have a future?,Friston K.,Nat Neurosci,2018,10.1038/s41593-018-0200-7
40,A Predictive-Coding Network That Is Both Discriminative and Generative,"Sun W, Orchard J.",Neural Comput,2020,10.1162/neco_a_01311
41,Predictive coding is a consequence of energy efficiency in recurrent neural networks,"Ali A, Ahmad N, de Groot E, Johannes van Gerven MA, Kietzmann TC.",Patterns (N Y),2022,10.1016/j.patter.2022.100639
42,Nonhuman rationality: a predictive coding perspective,Hung TW.,Cogn Process,2021,10.1007/s10339-020-01009-y
43,Placebo analgesia: a predictive coding perspective,"Büchel C, Geuter S, Sprenger C, Eippert F.",Neuron,2014,10.1016/j.neuron.2014.02.042
44,"Hybrid predictive coding: Inferring, fast and slow","Tscshantz A, Millidge B, Seth AK, Buckley CL.",PLoS Comput Biol,2023,10.1371/journal.pcbi.1011280
45,Predictive coding of natural images by V1 firing rates and rhythmic synchronization,"Uran C, Peter A, Lazar A, Barnes W, Klon-Lipok J, Shapcott KA, Roese R, Fries P, Singer W, Vinck M.",Neuron,2022,10.1016/j.neuron.2022.01.002
46,A Cerebellar Framework for Predictive Coding and Homeostatic Regulation in Depressive Disorder,Schutter DJLG.,Cerebellum,2016,10.1007/s12311-015-0708-2
47,Predictive coding as a model of cognition,Spratling MW.,Cogn Process,2016,10.1007/s10339-016-0765-6
48,Analgesia for the Bayesian Brain: How Predictive Coding Offers Insights Into the Subjectivity of Pain,"Lersch FE, Frickmann FCS, Urman RD, Burgermeister G, Siercks K, Luedi MM, Straumann S.",Curr Pain Headache Rep,2023,10.1007/s11916-023-01122-5
49,Predictive Coding Approximates Backprop Along Arbitrary Computation Graphs,"Millidge B, Tschantz A, Buckley CL.",Neural Comput,2022,10.1162/neco_a_01497
50,Recurrent predictive coding models for associative memory employing covariance learning,"Tang M, Salvatori T, Millidge B, Song Y, Lukasiewicz T, Bogacz R.",PLoS Comput Biol,2023,10.1371/journal.pcbi.1010719
51,Reflections on agranular architecture: predictive coding in the motor cortex,"Shipp S, Adams RA, Friston KJ.",Trends Neurosci,2013,10.1016/j.tins.2013.09.004
52,Visual mismatch negativity: a predictive coding view,"Stefanics G, Kremláček J, Czigler I.",Front Hum Neurosci,2014,10.3389/fnhum.2014.00666
53,Predictive coding of multisensory timing,"Shi Z, Burr D.",Curr Opin Behav Sci,2016,10.1016/j.cobeha.2016.02.014
54,Deficits of hierarchical predictive coding in left spatial neglect,"Doricchi F, Pinto M, Pellegrino M, Marson F, Aiello M, Campana S, Tomaiuolo F, Lasaponara S.",Brain Commun,2021,10.1093/braincomms/fcab111
55,Predictive coding across the left fronto-temporal hierarchy during language comprehension,"Wang L, Schoot L, Brothers T, Alexander E, Warnke L, Kim M, Khan S, Hämäläinen M, Kuperberg GR.",Cereb Cortex,2023,10.1093/cercor/bhac356
56,Predictive coding of natural images by V1 firing rates and rhythmic synchronization,"Uran C, Peter A, Lazar A, Barnes W, Klon-Lipok J, Shapcott KA, Roese R, Fries P, Singer W, Vinck M.",Neuron,2022,10.1016/j.neuron.2022.07.021
