,title,authors,where_published,year,doi
0,Bayesian brain computing and the free-energy principle: an interview with Karl Friston,Lu W.,Natl Sci Rev,2024,10.1093/nsr/nwae025
1,"Towards a Bayesian mechanics of metacognitive particles: A commentary on ""Path integrals, particular kinds, and strange things"" by Friston, Da Costa, Sakthivadivel, Heins, Pavliotis, Ramstead, and Parr","Da Costa L, Sandved-Smith L.",Phys Life Rev,2024,10.1016/j.plrev.2023.11.014
2,A Variational Synthesis of Evolutionary and Developmental Dynamics,"Friston K, Friedman DA, Constant A, Knight VB, Fields C, Parr T, Campbell JO.",Entropy (Basel),2023,10.3390/e25070964
3,On Bayesian mechanics: a physics of and by beliefs,"Ramstead MJD, Sakthivadivel DAR, Heins C, Koudahl M, Millidge B, Da Costa L, Klein B, Friston KJ.",Interface Focus,2023,10.1098/rsfs.2022.0029
4,Really radical?,Friston K.,Behav Brain Sci,2023,10.1017/S0140525X2200276X
5,"From the free energy principle to a confederation of Bayesian mechanics: Reply to comments on ""How particular is the physics of the free energy principle?""","Aguilera M, Millidge B, Tschantz A, Buckley CL.",Phys Life Rev,2023,10.1016/j.plrev.2023.01.018
6,Bayesian mechanics for stationary processes,"Da Costa L, Friston K, Heins C, Pavliotis GA.",Proc Math Phys Eng Sci,2021,10.1098/rspa.2021.0518
7,Some Interesting Observations on the Free Energy Principle,"Friston KJ, Da Costa L, Parr T.",Entropy (Basel),2021,10.3390/e23081076
8,Bayesian mechanics of perceptual inference and motor control in the brain,Kim CS.,Biol Cybern,2021,10.1007/s00422-021-00859-9
9,Modules or Mean-Fields?,"Parr T, Sajid N, Friston KJ.",Entropy (Basel),2020,10.3390/e22050552
10,"Markov blankets, information geometry and stochastic thermodynamics","Parr T, Da Costa L, Friston K.",Philos Trans A Math Phys Eng Sci,2020,10.1098/rsta.2019.0159
