,title,authors,where_published,year,doi
0,The free energy principle induces intracellular compartmentalization,Fields C.,Biochem Biophys Res Commun,2024,10.1016/j.bbrc.2024.150070
1,"Form, function, mind: What doesn't compute (and what might)",Newman SA.,Biochem Biophys Res Commun,2024,10.1016/j.bbrc.2024.150141
2,When the interoceptive and conceptual clash: The case of oppositional phenomenal self-modelling in Tourette syndrome,"Parvizi-Wayne D, Severs L.",Cogn Affect Behav Neurosci,2024,10.3758/s13415-024-01189-6
3,'Snakes and ladders' in paleoanthropology: From cognitive surprise to skillfulness a million years ago,"Manrique HM, Friston KJ, Walker MJ.",Phys Life Rev,2024,10.1016/j.plrev.2024.01.004
4,"Meaningfulness and attachment: what dreams, psychosis and psychedelic states tell us about our need for connection",Fischman L.,Front Psychol,2024,10.3389/fpsyg.2024.1413111
5,The Universal Optimism of the Self-Evidencing Mind,"Fisher EL, Hohwy J.",Entropy (Basel),2024,10.3390/e26060518
6,Neuromodulation of safety and surprise in the early stages of infant development: affective homeostatic regulation in bodily and mental functions,"Clarici A, Bulfon M, Radin Y, Panksepp J.",Front Psychol,2024,10.3389/fpsyg.2024.1395247
7,Giftedness and atypical sexual differentiation: enhanced perceptual functioning through estrogen deficiency instead of androgen excess,"Sakaguchi K, Tawata S.",Front Endocrinol (Lausanne),2024,10.3389/fendo.2024.1343759
8,Bayesian brain computing and the free-energy principle: an interview with Karl Friston,Lu W.,Natl Sci Rev,2024,10.1093/nsr/nwae025
9,Active Inference With Empathy Mechanism for Socially Behaved Artificial Agents in Diverse Situations,"Matsumura T, Esaki K, Yang S, Yoshimura C, Mizuno H.",Artif Life,2024,10.1162/artl_a_00416
10,An Overview of the Free Energy Principle and Related Research,"Zhang Z, Xu F.",Neural Comput,2024,10.1162/neco_a_01642
11,Markov Blankets and Mirror Symmetries-Free Energy Minimization and Mesocortical Anatomy,"Wright J, Bourke P.",Entropy (Basel),2024,10.3390/e26040287
12,Cerebellar state estimation enables resilient coupling across behavioural domains,"Palacios ER, Chadderton P, Friston K, Houghton C.",Sci Rep,2024,10.1038/s41598-024-56811-x
13,"The police hunch: the Bayesian brain, active inference, and the free energy principle in action","Stubbs G, Friston K.",Front Psychol,2024,10.3389/fpsyg.2024.1368265
14,Principled Limitations on Self-Representation for Generic Physical Systems,"Fields C, Glazebrook JF, Levin M.",Entropy (Basel),2024,10.3390/e26030194
15,"I like therefore I can, and I can therefore I like: the role of self-efficacy and affect in active inference of allostasis",Krupnik V.,Front Neural Circuits,2024,10.3389/fncir.2024.1283372
16,Natural language syntax complies with the free-energy principle,"Murphy E, Holmes E, Friston K.",Synthese,2024,10.1007/s11229-024-04566-3
17,Principles of cognitive biology and the concept of biocivilisations,Slijepcevic P.,Biosystems,2024,10.1016/j.biosystems.2023.105109
18,The utilitarian brain: Moving beyond the Free Energy Principle,"Hemmatian B, Varshney LR, Pi F, Barbey AK.",Cortex,2024,10.1016/j.cortex.2023.11.013
19,Criteria of Distribution Transitions in Dispersed Multiphase Systems Based on an Extended Lattice Model,"Li Y, Huang Y, Lu X, Wang M.",Langmuir,2023,10.1021/acs.langmuir.3c01579
20,"From physics to sentience: Deciphering the semantics of the free-energy principle and evaluating its claims: Comment on ""Path integrals, particular kinds, and strange things"" by Karl Friston et al","Sheikhbahaee Z, Safron A, Hesp C, Dumas G.",Phys Life Rev,2023,10.1016/j.plrev.2023.11.004
21,Conceptual foundations of physiological regulation incorporating the free energy principle and self-organized criticality,"Bettinger JS, Friston KJ.",Neurosci Biobehav Rev,2023,10.1016/j.neubiorev.2023.105459
22,Towards a strange interpretation of the Free Energy Principle,Bakker C.,Phys Life Rev,2023,10.1016/j.plrev.2023.09.011
23,"Path integrals, particular kinds, and strange things","Friston K, Da Costa L, Sakthivadivel DAR, Heins C, Pavliotis GA, Ramstead M, Parr T.",Phys Life Rev,2023,10.1016/j.plrev.2023.08.016
24,The Free Energy of Nucleosomal DNA Based on the Landau Model and Topology,"Yang H, Shi X.",Biomolecules,2023,10.3390/biom13121686
25,Action-rule-based cognitive control enables efficient execution of stimulus-response conflict tasks: a model validation of Simon task performance,"Otani Y, Katagiri Y, Imai E, Kowa H.",Front Hum Neurosci,2023,10.3389/fnhum.2023.1239207
26,The tendency of the schematic structure to maintain stability can be interpreted as mental inertia,Wei B.,Front Psychol,2023,10.3389/fpsyg.2023.1243711
27,[The Design Principle of Allostatic Mechanisms: The Free Energy Principle],Inui T.,Brain Nerve,2023,10.11477/mf.1416202511
28,"Hierarchical network structure as the source of hierarchical dynamics (power-law frequency spectra) in living and non-living systems: How state-trait continua (body plans, personalities) emerge from first principles in biophysics","Goekoop R, de Kleijn R.",Neurosci Biobehav Rev,2023,10.1016/j.neubiorev.2023.105402
29,Incremental Learning of Goal-Directed Actions in a Dynamic Environment by a Robot Using Active Inference,"Matsumoto T, Ohata W, Tani J.",Entropy (Basel),2023,10.3390/e25111506
30,Playing Brains: The Ethical Challenges Posed by Silicon Sentience and Hybrid Intelligence in DishBrain,"Milford SR, Shaw D, Starke G.",Sci Eng Ethics,2023,10.1007/s11948-023-00457-x
31,Phi fluctuates with surprisal: An empirical pre-study for the synthesis of the free energy principle and integrated information theory,"Lundbak Olesen C, Waade PT, Albantakis L, Mathys C.",PLoS Comput Biol,2023,10.1371/journal.pcbi.1011346
32,Myth of objectivity and the origin of symbols,Rahman S.,Front Sociol,2023,10.3389/fsoc.2023.1269621
33,Quantum formalism for the dynamics of cognitive psychology,Brody DC.,Sci Rep,2023,10.1038/s41598-023-43403-4
34,Fetal brain activity and the free energy principle,"Miyagi Y, Hata T, Miyake T.",J Perinat Med,2023,10.1515/jpm-2023-0092
35,"The many faces of action: Comment on ""An active inference model of hierarchical action understanding, learning and imitation"" by Proietti, Pezzulo, and Tessari",Friston K.,Phys Life Rev,2023,10.1016/j.plrev.2023.06.007
36,"Cultural mechanics: Comment on: ""To copy or not to copy? That is the question! From chimpanzees to the foundation of human technological culture"" by Héctor M. Manrique, and Michael J. Walker",Friston K.,Phys Life Rev,2023,10.1016/j.plrev.2023.06.001
37,Experimental validation of the free-energy principle with in vitro neural networks,"Isomura T, Kotani K, Jimbo Y, Friston KJ.",Nat Commun,2023,10.1038/s41467-023-40141-z
38,Pattern breaking: a complex systems approach to psychedelic medicine,"Hipólito I, Mago J, Rosas FE, Carhart-Harris R.",Neurosci Conscious,2023,10.1093/nc/niad017
39,Regulative development as a model for origin of life and artificial life studies,"Fields C, Levin M.",Biosystems,2023,10.1016/j.biosystems.2023.104927
40,To copy or not to copy? That is the question! From chimpanzees to the foundation of human technological culture,"Manrique HM, Walker MJ.",Phys Life Rev,2023,10.1016/j.plrev.2023.02.005
41,Resurrecting Gaia: harnessing the Free Energy Principle to preserve life as we know it,"Montgomery C, Hipólito I.",Front Psychol,2023,10.3389/fpsyg.2023.1206963
42,Models of the Translation Process and the Free Energy Principle,Carl M.,Entropy (Basel),2023,10.3390/e25060928
43,On Bayesian mechanics: a physics of and by beliefs,"Ramstead MJD, Sakthivadivel DAR, Heins C, Koudahl M, Millidge B, Da Costa L, Klein B, Friston KJ.",Interface Focus,2023,10.1098/rsfs.2022.0029
44,Free energy and inference in living systems,Kim CS.,Interface Focus,2023,10.1098/rsfs.2022.0041
45,Understanding brain functional architecture through robotics,"Prescott TJ, Wilson SP.",Sci Robot,2023,10.1126/scirobotics.adg6014
46,Test and Analysis of High-Permeability Material's Microstructure in Magnetic Shielding Device,"Zhou W, Sun J, Han B, Ren J, Li Y.",Materials (Basel),2023,10.3390/ma16113956
47,"The mesoanatomy of the cortex, minimization of free energy, and generative cognition","Wright JJ, Bourke PD.",Front Comput Neurosci,2023,10.3389/fncom.2023.1169772
48,Decoding reward-curiosity conflict in decision-making from irrational behaviors,"Konaka Y, Naoki H.",Nat Comput Sci,2023,10.1038/s43588-023-00439-w
49,"Functional contextual implementation of an evolutionary, entropy-based, and embodied free energy framework: Utilizing Lagrangian mechanics and evolutionary game theory's truth vs. fitness test of the veridicality of phenomenological experience",Edwards DJ.,Front Psychol,2023,10.3389/fpsyg.2023.1150743
50,"Active Inference, Epistemic Value, and Uncertainty in Conceptual Disorganization in First-Episode Schizophrenia","Limongi R, Silva AM, Mackinley M, Ford SD, Palaniyappan L.",Schizophr Bull,2023,10.1093/schbul/sbac125
51,Stochastic surprisal: An inferential measurement of free energy in neural networks,"Prabhushankar M, AlRegib G.",Front Neurosci,2023,10.3389/fnins.2023.926418
52,"From the free energy principle to a confederation of Bayesian mechanics: Reply to comments on ""How particular is the physics of the free energy principle?""","Aguilera M, Millidge B, Tschantz A, Buckley CL.",Phys Life Rev,2023,10.1016/j.plrev.2023.01.018
53,Predicting critical transitions in assortative spin-shifting networks,"Füllsack M, Reisinger D, Adam R, Kapeller M, Jäger G.",PLoS One,2023,10.1371/journal.pone.0275183
54,Turn-Taking Mechanisms in Imitative Interaction: Robotic Social Interaction Based on the Free Energy Principle,"Wirkuttis N, Ohata W, Tani J.",Entropy (Basel),2023,10.3390/e25020263
55,The Active Inference Model of Coherence Therapy,Chamberlin DE.,Front Hum Neurosci,2023,10.3389/fnhum.2022.955558
56,A brain-inspired robot pain model based on a spiking neural network,"Feng H, Zeng Y.",Front Neurorobot,2022,10.3389/fnbot.2022.1025338
57,Hyperactivity of the default mode network in schizophrenia and free energy: A dialogue between Freudian theory of psychosis and neuroscience,"Tran The J, Ansermet JP, Magistretti PJ, Ansermet F.",Front Hum Neurosci,2022,10.3389/fnhum.2022.956831
58,In vitro neurons learn and exhibit sentience when embodied in a simulated game-world,"Kagan BJ, Kitchen AC, Tran NT, Habibollahi F, Khajehnejad M, Parker BJ, Bhat A, Rollo B, Razi A, Friston KJ.",Neuron,2022,10.1016/j.neuron.2022.09.001
59,"One person's modus ponens…: Comment on ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by Raja and colleagues (2021)",Ramstead MJD.,Phys Life Rev,2022,10.1016/j.plrev.2022.11.001
60,"From a free energy principle to a free energy model?: Comment on ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by Vicente Raja et al",Palacios P.,Phys Life Rev,2022,10.1016/j.plrev.2022.09.002
61,"Co-constructing Markov blankets: Tricky solutions: Comment on ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by Vicente Raja et al","van Es T, Hipólito I.",Phys Life Rev,2022,10.1016/j.plrev.2022.09.001
62,"The nonequilibrium boundaries of living systems: Comment on ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by V. Raja et al",Aguilera M.,Phys Life Rev,2022,10.1016/j.plrev.2022.08.002
63,"Patterns and particles: Comment on ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by Raja et al",Parr T.,Phys Life Rev,2022,10.1016/j.plrev.2022.08.001
64,"Markov border crossings: Comment on ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by Vicente Raja et al",Di Paolo EA.,Phys Life Rev,2022,10.1016/j.plrev.2022.07.006
65,"The ultimate trick?: Comment on: ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by Raja et al",Friston K.,Phys Life Rev,2022,10.1016/j.plrev.2022.07.007
66,"Situated models and the modeler: A comment on ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by Raja, Valluri, Baggs, Chemero and Anderson","Albarracin M, Pitliya RJ.",Phys Life Rev,2022,10.1016/j.plrev.2022.07.003
67,"Does the free energy principle sleep on it?: Comment on ""How particular is the physics of the free energy principle?"" by Miguel Aguilera et al",Fernandez-Leon JA.,Phys Life Rev,2022,10.1016/j.plrev.2022.07.004
68,Integrated world modeling theory expanded: Implications for the future of consciousness,Safron A.,Front Comput Neurosci,2022,10.3389/fncom.2022.642397
69,The constrained disorder principle defines living organisms and provides a method for correcting disturbed biological systems,Ilan Y.,Comput Struct Biotechnol J,2022,10.1016/j.csbj.2022.11.015
70,Cognition as Morphological/Morphogenetic Embodied Computation In Vivo,Dodig-Crnkovic G.,Entropy (Basel),2022,10.3390/e24111576
71,Editorial: Enactivism and active inference in the therapeutic alliance,"Duquette P, Cerritelli F, Esteves JE.",Front Psychol,2022,10.3389/fpsyg.2022.1042698
72,The hard problem of consciousness-A perspective from holistic philosophy,"Chen J, Chen L.",Front Neurosci,2022,10.3389/fnins.2022.975281
73,How the Brain Becomes the Mind: Can Thermodynamics Explain the Emergence and Nature of Emotions?,"Déli É, Peters JF, Kisvárday Z.",Entropy (Basel),2022,10.3390/e24101498
74,"Unification of free energy minimization, spatiotemporal energy, and dimension reduction models of V1 organization: Postnatal learning on an antenatal scaffold","Wright JJ, Bourke PD.",Front Comput Neurosci,2022,10.3389/fncom.2022.869268
75,[Conspiracy theories and COVID-19: How do conspiracy beliefs arise?],Bottemanne H.,Encephale,2022,10.1016/j.encep.2021.12.005
76,Generalized Simultaneous Localization and Mapping (G-SLAM) as unification framework for natural and artificial intelligences: towards reverse engineering the hippocampal/entorhinal system and principles of high-level cognition,"Safron A, Çatal O, Verbelen T.",Front Syst Neurosci,2022,10.3389/fnsys.2022.787659
77,The Emperor Is Naked: Replies to commentaries on the target article,"Bruineberg J, Dołęga K, Dewhurst J, Baltieri M.",Behav Brain Sci,2022,10.1017/S0140525X22000656
78,"Against free energy, for direct perception","Stoffregen TA, Heath R.",Behav Brain Sci,2022,10.1017/S0140525X22000103
79,Who tailors the blanket?,"Suzuki K, Miyahara K, Miyazono K.",Behav Brain Sci,2022,10.1017/S0140525X22000206
80,Nothing but a useful tool? (F)utility and the free-energy principle,Colombo M.,Behav Brain Sci,2022,10.1017/S0140525X22000346
81,"Blankets, heat, and why free energy has not illuminated the workings of the brain","Spector D, Graham D.",Behav Brain Sci,2022,10.1017/S0140525X22000188
82,"Making life and mind as clear as possible, but not clearer",Gomez-Marin A.,Behav Brain Sci,2022,10.1017/S0140525X22000127
83,A continuity of Markov blanket interpretations under the free-energy principle,"Seth A, Korbak T, Tschantz A.",Behav Brain Sci,2022,10.1017/S0140525X2200036X
