,title,authors,where_published,year,doi
0,Reliability of dynamic causal modelling of resting-state magnetoencephalography,"Jafarian A, Assem MK, Kocagoncu E, Lanskey JH, Williams R, Cheng YJ, Quinn AJ, Pitt J, Raymont V, Lowe S, Singh KD, Woolrich M, Nobre AC, Henson RN, Friston KJ, Rowe JB.",Hum Brain Mapp,2024,10.1002/hbm.26782
1,Global neural self-disturbance in schizophrenia: A systematic fMRI review,"Sabbah SG, Northoff G.",Schizophr Res,2024,10.1016/j.schres.2024.05.015
2,'Snakes and ladders' in paleoanthropology: From cognitive surprise to skillfulness a million years ago,"Manrique HM, Friston KJ, Walker MJ.",Phys Life Rev,2024,10.1016/j.plrev.2024.01.004
3,Two distinct networks for encoding goals and forms of action: An effective connectivity study,"Di Cesare G, Lombardi G, Zeidman P, Urgen BA, Sciutti A, Friston KJ, Rizzolatti G.",Proc Natl Acad Sci U S A,2024,10.1073/pnas.2402282121
4,The Universal Optimism of the Self-Evidencing Mind,"Fisher EL, Hohwy J.",Entropy (Basel),2024,10.3390/e26060518
5,"Snakes, Flakes, and Ladders: From Surprise to Innovation in the Palaeolithic. Comment on Manrique, Friston, and Walker (2024), ""Snakes and Ladders in paleoanthropology""","Clark J, Linares-Matás G.",Phys Life Rev,2024,10.1016/j.plrev.2024.06.002
6,"Breaking Archaeology's glass ceiling in technological innovation. Comment on ""Snakes and ladders in Paleoanthropology: From cognitive surprise to skillfulness a million years ago"" by H.M. Manrique, K.J. Friston & M.J. Walker","Domínguez-Ballesteros E, Arrizabalaga A.",Phys Life Rev,2024,10.1016/j.plrev.2024.06.004
7,Narrative as active inference: an integrative account of cognitive and social functions in adaptation,"Bouizegarene N, Ramstead MJD, Constant A, Friston KJ, Kirmayer LJ.",Front Psychol,2024,10.3389/fpsyg.2024.1345480
8,Forgetting ourselves in flow: an active inference account of flow states and how we experience ourselves within them,"Parvizi-Wayne D, Sandved-Smith L, Pitliya RJ, Limanowski J, Tufft MRA, Friston KJ.",Front Psychol,2024,10.3389/fpsyg.2024.1354719
9,A Roundtable Discussion on Brain Connectivity,"Laureys S, Raichle M, Friston K, Whitfield-Gabrieli S, Whitwell J, Calhoun V, Douw L, Boly M.",Brain Connect,2024,10.1089/brain.2024.0037
10,Climate change and disorders of the nervous system,"Sisodiya SM, Gulcebi MI, Fortunato F, Mills JD, Haynes E, Bramon E, Chadwick P, Ciccarelli O, David AS, De Meyer K, Fox NC, Davan Wetton J, Koltzenburg M, Kullmann DM, Kurian MA, Manji H, Maslin MA, Matharu M, Montgomery H, Romanello M, Werring DJ, Zhang L, Friston KJ, Hanna MG.",Lancet Neurol,2024,10.1016/S1474-4422(24)00087-5
