,title,authors,where_published,year,doi
0,A model linking emotional dysregulation in neurodivergent people to the proprioceptive impact of joint hypermobility,"Eccles JA, Quadt L, Garfinkel SN, Critchley HD.",Philos Trans R Soc Lond B Biol Sci,2024,10.1098/rstb.2023.0247
1,Updating predictions in a complex repertoire of actions and its neural representation,"Selvan RN, Cheng M, Siestrup S, Mecklenbrauck F, Jainta B, Pomp J, Zahedi A, Tamosiunaite M, Wörgötter F, Schubotz RI.",Neuroimage,2024,10.1016/j.neuroimage.2024.120687
2,"Experimental evidence for a robust, transdiagnostic marker in functional disorders: Erroneous sensorimotor processing in functional dizziness and functional movement disorder","Regnath F, Biersack K, Schröder L, Stainer MC, von Werder D, Pürner D, Haslinger B, Lehnen N.",J Psychosom Res,2024,10.1016/j.jpsychores.2024.111694
3,Mechanistic studies in pathological health anxiety: A systematic review and emerging conceptual framework,"Guthrie AJ, Paredes-Echeverri S, Bleier C, Adams C, Millstein DJ, Ranford J, Perez DL.",J Affect Disord,2024,10.1016/j.jad.2024.05.029
4,Neural oscillations suggest periodicity encoding during auditory beat processing in the premature brain,"Edalati M, Wallois F, Ghostine G, Kongolo G, Trainor LJ, Moghimi S.",Dev Sci,2024,10.1111/desc.13550
5,Decoding familiar visual object categories in the mu rhythm oscillatory response,"Bailey KM, Sami S, Smith FW.",Neuropsychologia,2024,10.1016/j.neuropsychologia.2024.108900
6,Neural oscillations during predictive sentence processing in young children,"Benítez-Barrera CR, Behboudi MH, Maguire MJ.",Brain Lang,2024,10.1016/j.bandl.2024.105437
7,Suppression and omission effects in auditory predictive processing-Two of the same?,"Tast V, Schröger E, Widmann A.",Eur J Neurosci,2024,10.1111/ejn.16393
8,"Contributions of Basal Ganglia Circuits to Perception, Attention, and Consciousness","Redinbaugh MJ, Saalmann YB.",J Cogn Neurosci,2024,10.1162/jocn_a_02177
9,Perception of visual and audiovisual trajectories toward and away from the body in the first postnatal year,"Orioli G, Dragovic D, Farroni T.",J Exp Child Psychol,2024,10.1016/j.jecp.2024.105921
10,Predictive Processing During Cue-Outcome Associative Learning in Autistic Children,"Papastamou F, Dumont C, Destrebecqz A, Kissine M.",J Autism Dev Disord,2024,10.1007/s10803-024-06448-6
11,Chronic pain - A maladaptive compensation to unbalanced hierarchical predictive processing,"Castejón J, Chen F, Yasoda-Mohan A, Ó Sé C, Vanneste S.",Neuroimage,2024,10.1016/j.neuroimage.2024.120711
12,Effects of expectations and sensory unreliability on voice detection - A preregistered study,"Szymanek P, Homan M, van Elk M, Hohol M.",Conscious Cogn,2024,10.1016/j.concog.2024.103718
13,Priors and prejudice: hierarchical predictive processing in intergroup perception,"McGovern HT, Otten M.",Front Psychol,2024,10.3389/fpsyg.2024.1386370
14,Effect of contextual prediction on emotional word processing: an evidence from ERPNR-D-24-00189,"Li Y, Sui X, Li Y.",Neuroreport,2024,10.1097/WNR.0000000000002040
15,"Two Prediction Error Systems in the Nonlemniscal Inferior Colliculus: ""Spectral"" and ""Nonspectral""","Carbajal GV, Casado-Román L, Malmierca MS.",J Neurosci,2024,10.1523/JNEUROSCI.1420-23.2024
16,Forgetting ourselves in flow: an active inference account of flow states and how we experience ourselves within them,"Parvizi-Wayne D, Sandved-Smith L, Pitliya RJ, Limanowski J, Tufft MRA, Friston KJ.",Front Psychol,2024,10.3389/fpsyg.2024.1354719
17,Pain perception as hierarchical Bayesian inference: A test case for the theory of constructed emotion,"Poublan-Couzardot A, Talmi D.",Ann N Y Acad Sci,2024,10.1111/nyas.15141
18,Neural representations of statistical and rule-based predictions in Gilles de la Tourette syndrome,"Takacs A, Toth-Faber E, Schubert L, Tarnok Z, Ghorbani F, Trelenberg M, Nemeth D, Münchau A, Beste C.",Hum Brain Mapp,2024,10.1002/hbm.26719
19,Systematic review and meta-analysis of the visual mismatch negativity in schizophrenia,"Mazer P, Carneiro F, Domingo J, Pasion R, Silveira C, Ferreira-Santos F.",Eur J Neurosci,2024,10.1111/ejn.16355
20,Predictive processing of music and language in autism: Evidence from Mandarin and English speakers,"Zhao C, Ong JH, Veic A, Patel AD, Jiang C, Fogel AR, Wang L, Hou Q, Das D, Crasto C, Chakrabarti B, Williams TI, Loutrari A, Liu F.",Autism Res,2024,10.1002/aur.3133
21,The role of identity priming on the (unconscious) bodily self-attribution,"Ciorli T, Pia L.",Psychol Res,2024,10.1007/s00426-024-01944-x
22,"""And how did that make you feel?"" - Repeated symptom queries enhance symptom reports elicited by negative affect","Petzke TM, Elspaß L, Köteles F, Van den Bergh O, Witthöft M.",J Psychosom Res,2024,10.1016/j.jpsychores.2024.111634
23,Fine-grained differences in gender-cue strength affect predictive processing in children: Cross-linguistic evidence from Russian and Bulgarian,"Ivanova-Sullivan T, Meir N, Sekerina IA.",J Exp Child Psychol,2024,10.1016/j.jecp.2024.105868
24,Prior Context and Individual Alpha Frequency Influence Predictive Processing during Language Comprehension,"Jano S, Cross Z, Chatburn A, Schlesewsky M, Bornkessel-Schlesewsky I.",J Cogn Neurosci,2024,10.1162/jocn_a_02196
25,Invariant representations in abstract concept grounding - the physical world in grounded cognition,"Friedrich J, Fischer MH, Raab M.",Psychon Bull Rev,2024,10.3758/s13423-024-02522-3
26,Binocularly suppressed stimuli induce brain activities related to aesthetic emotions,"Hoshi H, Ishii A, Shigihara Y, Yoshikawa T.",Front Neurosci,2024,10.3389/fnins.2024.1339479
27,Investigating the neural effects of typicality and predictability for face and object stimuli,"Ficco L, Li C, Kaufmann JM, Schweinberger SR, Kovács GZ.",PLoS One,2024,10.1371/journal.pone.0293781
