Term,Definition
adaptation,Adaptation of an agent to its environment
addiction,Simulation or behavioral studies of addiction or substance abuse
aesthetic perception,Perception of aesthetics or appreciation of beauty and art 
affordances,Tool usage or actions for an agent that enable new states or action opportunities for optimal interaction with the environment
agent-environment coupling,Relationship between an agent interacting with its environment
aging,Neurobiology of aging
Alzheimer's disease,Simulation or behavioral studies of Alzheimer's diesase
anaesthesia,Neurobiology of anaesthesia
animal behavior,Behavioral study involving animals
anosognosia,Simulation or behavioral studies of anosognosia
anticipation,Predictive processes that predict or expect future environmental states or observations
anxiety,Neuropathology of anxiety
apathy,Modeling disinterested states of an agent
application,Application to real-world scenarios
arousal,Simulation or behavioral studies of arousal
artificial curiosity,Investigations into enabling curious-like behavior in artificial systems
attachment theory,Simulation or behavioral studies of child-caregiver attachment behaviors in humans and animals
attention,Modulation of precision on computational model variables or neuronal gain modulation 
audition,Simulation or behavioral studies on the auditory sensory modality
autism spectrum disorder,Simulation or behavioral studies of autism spectrum disorders
autopoiesis,Investigations into self-organization and self-maintenance is biological or artificial systems
Bayesian filtering,Bayesian approaches to filtering methods
Bayesian model reduction,Investigations into structure learning that reduces the complexity of the model
Bayesian model selection,Investigations into model comparison strategies
belief formation,Simulation or behavioral studies investigating the formation of beliefs
Bethe free energy,Computational methods that involve the Bethe assumption for the factorization of the variational density
binocular rivalry,Simulations or behavioral studies of the binocular rivalry illusion
bipolar disorder,Neuropathology of bipolar disorder
borderline personality disorder,Neuropathology of borderline personality disorder
brain-body interaction,Interaction between the brain and body
brain-computer interface,Interfacing between a brain and computer system
branching-time active inference,Active inference tree-based algorithms that branch from the present time point
cancer,Applications of self-organization and the free energy principle to the collective behavior involved in cancer dynamics 
catatonia,Neuropathology of catatonia
chemical reaction networks,Applications of the free energy principle to chemical reaction networks
child development,Applications of active inference to child development
clinical psychology,General category for investigations in clinical neuropathologies
cognitive control,Investigations into executive function control of lower-level systems
collective behavior,Simulation or behavioral studies involving multiple agents and their interaction
comment / response,"A journal article which is a commentary, response, or rebuttal to another journal article"
communication,"Involving the transfer or sharing of information (observations, parameters, distributions) between agents"
computational psychiatry,Applying computational methods to provide precise numeral characterizations of neuropathologies seen in human and animals
consciousness,Investigations into the study of consciousness 
continuous state space / adaptive control,"Simulations, methodologies, or applications of continuous state space active inference"
control theory,"Relating to systems that control an external environment that they are coupled to, especially through feedback"
core,"Core active inference, Bayesian mechanics, or free energy principle literature (formal methods, simulations)"
covid-19,Modeling COVID-19 epidemiology with dynamic causal modeling
criticality,Investigating self-organized systems whose behaviors change dramatically in response to small perturbations
culture,"Social behaviors and precise regularities / shared norms (laws, beliefs, habits) in multi-agent systems"
