Papers,Chapter,Notes
Active inference as a theory of sentient behavior,1,History of predictive coding; unification
A Neural Network Implementation for Free Energy Principle,4,Comparing AIF and Helmholtz machine
Reverse engineering neural networks to characterise their cost functions,4,VFE minimization and cost functions.
Surprise: a unified theory and experimental predictions,4,Many ways to interpret surprisal
Variational approximations,4,MacKay 1992
Canonical neural networks perform active inference,4,Neural substrate
Cultured Cortical Neurons Can Perform Blind Source Separation According to the Free-Energy Principle,4,Neural substrate
Emergence of associative learning in a neuromorphic inference network,4,Neural substrate
Experimental validation of the free-energy principle with in vitro neural networks,4,Neural substrate
In vitro neural networks minimise variational free energy,4,Neural substrate
In vitro neurons learn and exhibit sentience when embodied in a simulated game-world,4,Neural substrate
Linking Neuromodulated Spike-Timing Dependent Plasticity with the Free-Energy Principle,4,Neural substrate
Noise Helps Optimization Escape From Saddle Points in the Synaptic Plasticity,4,Neural substrate
The emergence of synchrony in networks of mutually inferring neurons,4,Neural substrate
Active inference leads to Bayesian neurophysiology,4,Neural substrate
A theory of cortical responses,5,
"Active Predictive Coding: A Unifying Neural Model for Active Perception, Compositional Learning, and Hierarchical Planning",5,Active predictive coding
Applications of the Free Energy Principle to Machine Learning and Neuroscience,5,Predictive coding
Combining Active Inference and Hierarchical Predictive Coding: A Tutorial Introduction and Case Study,5,AIF and predictive coding
Functional integration and inference in the brain,5,
Implementing Predictive Processing and Active Inference: Preliminary Steps and Results,5,Active predictive coding?
Learning and inference in the brain,5,
Predictive coding networks for temporal prediction,5,Temporal PC
Active inference and oculomotor pursuit: the dynamic causal modelling of eye movements,6,Notation (continuous)
"Active inference, sensory attenuation and illusions",6,Excellent notation examples.Motor illusions
A free energy principle for the brain,6,
Active inference unifies intentional and conflict-resolution imperatives of motor control,6,Notation (continuous)
"Active inference, eye movements and oculomotor delays",6,"Notation (continuous), great appendix!"
Active strategies for multisensory conflict suppression in the virtual hand illusion,6,Notation (Laplace)
"Dopamine, affordance and active inference",6,Great notation esp. for hiearchical models
Hallucinations both in and out of context: An active inference account,6,Notation (continuous)
Precision and False Perceptual Inference,6,Mostly seems to be a review of older simulations
The computational anatomy of psychosis,6,"Notation, see also figure of the effect of the posterior shift"
Cortical circuits for perceptual inference,6,Best continuous time notation explanation and Laplace assumption
DEM: a variational treatment of dynamic systems,6,
Hierarchical models in the brain,6,
Perception and hierarchical dynamics,6,"Chapter 8, important core paper to read, good simulation setup here, maybe useful. Good continuous state space notation"
"Predictive coding, precision and synchrony",6,
Recognition Dynamics in the Brain under the Free Energy Principle,6,Good continuous state space notation
Variational Bayesian identification and prediction of stochastic nonlinear dynamic causal models,6,Never seen this paper but it seems very important. Revisit. Also has some nice descriptions of stochastic processes.
Variational filtering,6,
Variational free energy and the Laplace approximation,6,
Waves of prediction,6,
A Minimal Active Inference Agent,6,Simulation
Active inference and oculomotor pursuit: the dynamic causal modelling of eye movements,7,Notation (continuous)
"Active inference, sensory attenuation and illusions",7,Excellent notation examples.Motor illusions
A free energy principle for the brain,7,
Active inference unifies intentional and conflict-resolution imperatives of motor control,7,Notation (continuous)
"Active inference, eye movements and oculomotor delays",7,"Notation (continuous), great appendix!"
Active strategies for multisensory conflict suppression in the virtual hand illusion,7,Notation (Laplace)
"Dopamine, affordance and active inference",7,Great notation esp. for hiearchical models
Hallucinations both in and out of context: An active inference account,7,Notation (continuous)
Precision and False Perceptual Inference,7,Mostly seems to be a review of older simulations
The computational anatomy of psychosis,7,"Notation, see also figure of the effect of the posterior shift"
Simultaneous learning and filtering without delusions: a Bayes-optimal combination of Predictive Inference and Adaptive Filtering,7,"Cite in Chapter 7, good example of learning the forward model. Read. Motor illusions"
How higher goals are constructed and collapse under stress: A hierarchical Bayesian control systems perspective,7,Good history of cybernetics section including set-points useful for Chapter 7
Perceptions as hypotheses: saccades as experiments,7,"Great notation and important perspective on action and Bayesian surprise to add to Chapter 7. Will be useful to refer back to this paper for Chapter 8 because it shows how to construct the block matrices for hierarchical models. For Chapter 15, there is good info here for the equivalence section. Consideration of infomax for example and other equivalences are laid out here. Also, the extension here about salience and hidden state controls needs to be mentioned in Chapter 11."
Computational Models of Interoception and Body Regulation,7,Nice for Chapter 7 and Chapter 8 alongside very nice visualization that I can use as inspiration in these chapters
Computational Models of Interoception and Body Regulation,7,Nice for Chapter 7 and Chapter 8 alongside very nice visualization that I can use as inspiration in these chapters
"Attention, uncertainty, and free-energy",7,
Autopoiesis and Cognition: The Realization of the Living,7,Active inference is an example of self-referenced learning in which “the actions of the learner influence its own learning without any valuation process”
Embodied skillful performance: where the action is,7,"Best diagram of forward model control, very good reference for ch 7"
Getting ahead: forward models and their place in cognitive architecture,7,
Learning a Forward Model of a Reflex,7,Active inference is an example of self-referenced learning in which “the actions of the learner influence its own learning without any valuation process”
Muscleless motor synergies and actions without movements: From motor neuroscience to cognitive robotics,7,Good quote in here about action and marinettes. Quote in Chapter 7.
"Prediction, perception and agency",7,"Good core review of active inference, great for Chapter 7."
Predictions in the eye of the beholder: an active inference account of Watt governors,7,Cybernetics
Predictions not commands: active inference in the motor system,7,Read closely for Chapter 7.
Reinforcement learning or active inference?,7,
The perceptual shaping of anticipatory actions,7,Also nice for Chapter 7
A computational theory for the production of limb movements,7,Equilibrium point
What is value-accumulated reward or evidence?,7,Precursor to discrete time active inference. Worth taking a closer look to see if I put this in Appendix A yet and how they try to extend continuous time action into planning.
Active inference and oculomotor pursuit: the dynamic causal modelling of eye movements,8,Notation (continuous)
"Active inference, sensory attenuation and illusions",8,Excellent notation examples.Motor illusions
A free energy principle for the brain,8,
